zone,last_update,value,percentage,population
BENGKULU,2020-08-01,8.26,,
JAWA_TIMUR,2020-08-01,7.71,,
JAWA_TENGAH,2020-08-01,6.53,,
NUSA_TENGGARA_BARAT,2020-07-31,5.33,,
KALIMANTAN_TENGAH,2020-08-01,5.13,,
SULAWESI_UTARA,2020-08-01,4.99,,
BANTEN,2020-08-01,4.94,,
SUMATERA_UTARA,2020-08-01,4.91,,
KALIMANTAN_SELATAN,2020-08-01,4.79,,
LAMPUNG,2020-07-30,4.72,,
NATIONAL,2020-08-02,4.70,,
SUMATERA_SELATAN,2020-08-01,4.70,,
DKI_JAKARTA,2020-08-01,3.87,,
SUMATERA_BARAT,2020-07-31,3.59,,
KEPULAUAN_RIAU,2020-08-01,3.50,,
SULAWESI_TENGAH,2020-07-29,3.38,,
SULAWESI_SELATAN,2020-08-01,3.35,,
JAWA_BARAT,2020-08-01,3.12,,
MALUKU_UTARA,2020-08-01,3.11,,
GORONTALO,2020-08-01,3.03,,
ACEH,2020-07-31,2.89,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-01,2.89,,
RIAU,2020-08-01,2.70,,
JAMBI,2020-08-01,2.40,,
KALIMANTAN_TIMUR,2020-08-01,2.24,,
MALUKU,2020-08-01,2.05,,
SULAWESI_BARAT,2020-08-01,1.72,,
SULAWESI_TENGGARA,2020-08-01,1.65,,
BALI,2020-08-01,1.34,,
PAPUA_BARAT,2020-08-01,1.11,,
KEPULAUAN_BANGKA_BELITUNG,2020-07-29,1.04,,
PAPUA,2020-08-01,1.04,,
KALIMANTAN_UTARA,2020-08-01,0.70,,
NUSA_TENGGARA_TIMUR,2020-07-26,0.69,,
KALIMANTAN_BARAT,2020-07-31,0.52,,
