zone,last_update,value,percentage,population
DKI_JAKARTA,2020-07-31,1191,,11058944
KALIMANTAN_SELATAN,2020-07-31,1047,,3215366
PAPUA,2020-07-31,790,,1740450
SULAWESI_SELATAN,2020-07-31,777,,8340621
BALI,2020-07-31,675,,4247341
MALUKU,2020-07-30,662,,1054437
SULAWESI_UTARA,2020-07-31,560,,2154904
KALIMANTAN_TENGAH,2020-07-31,508,,2251078
GORONTALO,2020-07-30,438,,1068216
PAPUA_BARAT,2020-07-31,397,,735514
KALIMANTAN_UTARA,2020-07-31,381,,560965
MALUKU_UTARA,2020-07-30,370,,885950
JAWA_TIMUR,2020-07-31,355,,40531918
SULAWESI_TENGGARA,2020-07-30,311,,1487542
NATIONAL,2020-08-01,277,,245596822
NUSA_TENGGARA_BARAT,2020-07-31,272,,4736032
KALIMANTAN_TIMUR,2020-07-31,262,,3439150
SUMATERA_SELATAN,2020-07-31,240,,7467555
KEPULAUAN_RIAU,2020-07-31,183,,1744063
SUMATERA_BARAT,2020-07-31,148,,5135071
JAWA_TENGAH,2020-07-31,146,,36461504
KEPULAUAN_BANGKA_BELITUNG,2020-07-29,130,,1330690
BANTEN,2020-07-31,129,,10451189
SULAWESI_BARAT,2020-07-31,111,,1256533
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-31,109,,3656108
SUMATERA_UTARA,2020-07-31,103,,13181814
BENGKULU,2020-07-31,95,,1248241
SULAWESI_TENGAH,2020-07-29,92,,2047415
JAWA_BARAT,2020-07-31,87,,45485037
KALIMANTAN_BARAT,2020-07-31,76,,4641876
RIAU,2020-07-31,56,,5492714
JAMBI,2020-07-31,37,,3080619
NUSA_TENGGARA_TIMUR,2020-07-26,36,,3096127
ACEH,2020-07-31,24,,3856404
LAMPUNG,2020-07-30,22,,8455434
