zone,last_update,value,percentage,population
JAMBI,2020-08-05,100.00,,
KALIMANTAN_BARAT,2020-07-31,100.00,,
KEPULAUAN_RIAU,2020-08-05,100.00,,
JAWA_BARAT,2020-08-05,92.80,,
RIAU,2020-08-05,86.21,,
SUMATERA_BARAT,2020-08-05,84.21,,
PAPUA_BARAT,2020-08-05,80.00,,
BANTEN,2020-08-05,78.26,,
SULAWESI_TENGGARA,2020-08-05,71.43,,
SULAWESI_BARAT,2020-08-05,66.67,,
MALUKU,2020-08-05,58.62,,
SUMATERA_SELATAN,2020-08-05,50.79,,
ACEH,2020-08-05,50.00,,
SULAWESI_TENGAH,2020-08-05,50.00,,
SUMATERA_UTARA,2020-08-05,41.54,,
GORONTALO,2020-08-05,22.50,,
KALIMANTAN_TIMUR,2020-08-05,14.93,,
NATIONAL,2020-08-06,3.03,,
JAWA_TIMUR,2020-08-05,2.16,,
DKI_JAKARTA,2020-08-05,-11.02,,
JAWA_TENGAH,2020-08-05,-13.42,,
BALI,2020-08-05,-15.38,,
NUSA_TENGGARA_BARAT,2020-08-05,-19.23,,
SULAWESI_SELATAN,2020-08-05,-22.83,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-05,-70.59,,
KALIMANTAN_SELATAN,2020-08-05,-77.78,,
SULAWESI_UTARA,2020-08-05,-84.21,,
PAPUA,2020-08-05,-145.45,,
LAMPUNG,2020-08-05,-200.00,,
KALIMANTAN_TENGAH,2020-08-05,-440.00,,
KEPULAUAN_BANGKA_BELITUNG,2020-08-05,-600.00,,
NUSA_TENGGARA_TIMUR,2020-08-05,-800.00,,
KALIMANTAN_UTARA,2020-08-04,-1566.67,,
BENGKULU,2020-08-05,-1600.00,,
MALUKU_UTARA,2020-08-05,-2771.43,,
