zone,last_update,value,percentage,population
JAWA_TIMUR,2020-07-29,388,32.74,
JAWA_TENGAH,2020-07-29,298,25.15,
DKI_JAKARTA,2020-07-29,101,8.52,
SULAWESI_SELATAN,2020-07-29,65,5.49,
SUMATERA_UTARA,2020-07-29,55,4.64,
KALIMANTAN_SELATAN,2020-07-29,46,3.88,
NUSA_TENGGARA_BARAT,2020-07-29,23,1.94,
SUMATERA_SELATAN,2020-07-29,22,1.86,
BALI,2020-07-29,19,1.60,
KALIMANTAN_TENGAH,2020-07-28,16,1.35,
SULAWESI_UTARA,2020-07-29,15,1.27,
GORONTALO,2020-07-29,14,1.18,
KALIMANTAN_TIMUR,2020-07-29,10,0.84,
JAWA_BARAT,2020-07-29,9,0.76,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-29,8,0.68,
MALUKU_UTARA,2020-07-29,8,0.68,
PAPUA,2020-07-29,7,0.59,
BANTEN,2020-07-29,6,0.51,
ACEH,2020-07-29,5,0.42,
MALUKU,2020-07-29,4,0.34,
SULAWESI_TENGGARA,2020-07-29,2,0.17,
KEPULAUAN_RIAU,2020-07-29,1,0.08,
PAPUA_BARAT,2020-07-29,1,0.08,
RIAU,2020-07-29,1,0.08,
SULAWESI_TENGAH,2020-07-29,1,0.08,
SUMATERA_BARAT,2020-07-29,1,0.08,
BENGKULU,2020-07-29,0,0.00,
JAMBI,2020-07-29,0,0.00,
KALIMANTAN_BARAT,2020-07-28,0,0.00,
KALIMANTAN_UTARA,2020-07-28,0,0.00,
KEPULAUAN_BANGKA_BELITUNG,2020-07-29,0,0.00,
LAMPUNG,2020-07-27,0,0.00,
NUSA_TENGGARA_TIMUR,2020-07-26,0,0.00,
SULAWESI_BARAT,2020-07-29,0,0.00,
