zone,last_update,value,percentage,population
JAWA_TIMUR,2020-08-01,6010,25.49,
DKI_JAKARTA,2020-08-01,3889,16.50,
SULAWESI_SELATAN,2020-08-01,2886,12.24,
JAWA_TENGAH,2020-08-01,2848,12.08,
KALIMANTAN_SELATAN,2020-08-01,1749,7.42,
JAWA_BARAT,2020-08-01,1672,7.09,
BALI,2020-08-01,1050,4.45,
SUMATERA_UTARA,2020-08-01,788,3.34,
SULAWESI_UTARA,2020-08-01,645,2.74,
KALIMANTAN_TENGAH,2020-08-01,514,2.18,
SUMATERA_SELATAN,2020-08-01,434,1.84,
KALIMANTAN_TIMUR,2020-08-01,346,1.47,
GORONTALO,2020-08-01,284,1.20,
NUSA_TENGGARA_BARAT,2020-07-31,212,0.90,
BANTEN,2020-08-01,187,0.79,
PAPUA,2020-08-01,165,0.70,
MALUKU_UTARA,2020-08-01,153,0.65,
MALUKU,2020-08-01,145,0.62,
SULAWESI_TENGGARA,2020-08-01,113,0.48,
RIAU,2020-08-01,103,0.44,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-01,87,0.37,
PAPUA_BARAT,2020-08-01,87,0.37,
SUMATERA_BARAT,2020-07-31,68,0.29,
SULAWESI_BARAT,2020-08-01,36,0.15,
ACEH,2020-07-31,26,0.11,
LAMPUNG,2020-07-30,26,0.11,
KEPULAUAN_BANGKA_BELITUNG,2020-07-29,23,0.10,
KALIMANTAN_UTARA,2020-08-01,22,0.09,
KEPULAUAN_RIAU,2020-08-01,22,0.09,
NUSA_TENGGARA_TIMUR,2020-07-26,19,0.08,
JAMBI,2020-08-01,14,0.06,
KALIMANTAN_BARAT,2020-07-31,14,0.06,
SULAWESI_TENGAH,2020-07-29,13,0.06,
BENGKULU,2020-08-01,11,0.05,
