zone,last_update,value,percentage,population
DKI_JAKARTA,2020-08-01,2938,50.91,
SUMATERA_UTARA,2020-08-01,1082,18.75,
JAWA_BARAT,2020-08-01,839,14.54,
JAWA_TENGAH,2020-08-01,793,13.74,
PAPUA,2020-08-01,638,11.06,
GORONTALO,2020-08-01,503,8.72,
SUMATERA_SELATAN,2020-08-01,458,7.94,
SULAWESI_UTARA,2020-08-01,454,7.87,
KALIMANTAN_TIMUR,2020-08-01,377,6.53,
MALUKU_UTARA,2020-08-01,373,6.46,
NUSA_TENGGARA_BARAT,2020-07-31,319,5.53,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-01,271,4.70,
ACEH,2020-07-31,259,4.49,
KEPULAUAN_RIAU,2020-08-01,116,2.01,
RIAU,2020-08-01,89,1.54,
SULAWESI_TENGGARA,2020-08-01,88,1.52,
PAPUA_BARAT,2020-08-01,75,1.30,
BENGKULU,2020-08-01,52,0.90,
SULAWESI_BARAT,2020-08-01,51,0.88,
SUMATERA_BARAT,2020-07-31,47,0.81,
KALIMANTAN_UTARA,2020-08-01,38,0.66,
LAMPUNG,2020-07-30,20,0.35,
JAMBI,2020-08-01,9,0.16,
KALIMANTAN_SELATAN,2020-08-01,7,0.12,
KEPULAUAN_BANGKA_BELITUNG,2020-07-29,0,0.00,
SULAWESI_TENGAH,2020-07-29,-12,-0.21,
KALIMANTAN_TENGAH,2020-08-01,-16,-0.28,
MALUKU,2020-08-01,-26,-0.45,
KALIMANTAN_BARAT,2020-07-31,-27,-0.47,
NUSA_TENGGARA_TIMUR,2020-07-26,-38,-0.66,
BANTEN,2020-08-01,-95,-1.65,
BALI,2020-08-01,-359,-6.22,
SULAWESI_SELATAN,2020-08-01,-873,-15.13,
JAWA_TIMUR,2020-08-01,-1769,-30.65,
