zone,last_update,value,percentage,population
MALUKU_UTARA,2020-07-15,848,,885950
KALIMANTAN_SELATAN,2020-07-15,320,,3215366
SULAWESI_UTARA,2020-07-15,319,,2154904
SULAWESI_SELATAN,2020-07-15,235,,8340621
PAPUA,2020-07-15,149,,1740450
BALI,2020-07-15,117,,4247341
KALIMANTAN_TENGAH,2020-07-14,116,,2251078
SUMATERA_UTARA,2020-07-15,90,,13181814
JAWA_TIMUR,2020-07-15,80,,40531918
SUMATERA_SELATAN,2020-07-15,69,,7467555
SULAWESI_TENGGARA,2020-07-15,63,,1487542
JAWA_TENGAH,2020-07-15,60,,36461504
NATIONAL,2020-07-16,56,,245596822
DKI_JAKARTA,2020-07-15,53,,11058944
NUSA_TENGGARA_BARAT,2020-07-15,48,,4736032
JAWA_BARAT,2020-07-15,38,,45485037
KALIMANTAN_TIMUR,2020-07-15,35,,3439150
GORONTALO,2020-07-15,33,,1068216
SULAWESI_BARAT,2020-07-15,24,,1256533
ACEH,2020-07-15,13,,3856404
BENGKULU,2020-07-15,12,,1248241
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-15,8,,3656108
RIAU,2020-07-14,1,,5492714
LAMPUNG,2020-07-15,-1,,8455434
KALIMANTAN_UTARA,2020-07-13,-11,,560965
JAMBI,2020-07-15,-12,,3080619
NUSA_TENGGARA_TIMUR,2020-07-08,-12,,3096127
SULAWESI_TENGAH,2020-07-15,-12,,2047415
KALIMANTAN_BARAT,2020-07-13,-16,,4641876
KEPULAUAN_BANGKA_BELITUNG,2020-07-15,-20,,1330690
SUMATERA_BARAT,2020-07-15,-21,,5135071
KEPULAUAN_RIAU,2020-07-15,-25,,1744063
BANTEN,2020-07-15,-31,,10451189
PAPUA_BARAT,2020-07-14,-34,,735514
MALUKU,2020-07-15,-66,,1054437
