zone,last_update,value,percentage,population
GORONTALO,2020-08-09,1121,,1068216
DKI_JAKARTA,2020-08-09,1032,,11058944
KALIMANTAN_SELATAN,2020-08-09,799,,3215366
PAPUA,2020-08-09,586,,1740450
MALUKU_UTARA,2020-08-09,580,,885950
SULAWESI_UTARA,2020-08-09,577,,2154904
MALUKU,2020-08-09,432,,1054437
SULAWESI_SELATAN,2020-08-09,421,,8340621
BALI,2020-08-09,376,,4247341
PAPUA_BARAT,2020-08-09,362,,735514
KALIMANTAN_TENGAH,2020-08-09,360,,2251078
KALIMANTAN_TIMUR,2020-08-09,348,,3439150
SULAWESI_TENGGARA,2020-08-09,342,,1487542
JAWA_TIMUR,2020-08-09,218,,40531918
NATIONAL,2020-08-09,202,,245596822
SUMATERA_UTARA,2020-08-09,190,,13181814
NUSA_TENGGARA_BARAT,2020-08-09,157,,4736032
KALIMANTAN_UTARA,2020-08-09,143,,560965
JAWA_TENGAH,2020-08-09,141,,36461504
SUMATERA_SELATAN,2020-08-09,139,,7467555
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-09,134,,3656108
ACEH,2020-08-09,123,,3856404
KEPULAUAN_RIAU,2020-08-09,116,,1744063
SULAWESI_BARAT,2020-08-08,109,,1256533
RIAU,2020-08-09,90,,5492714
BENGKULU,2020-08-09,71,,1248241
SUMATERA_BARAT,2020-08-09,66,,5135071
JAWA_BARAT,2020-08-09,53,,45485037
BANTEN,2020-08-09,44,,10451189
JAMBI,2020-08-08,29,,3080619
KEPULAUAN_BANGKA_BELITUNG,2020-08-09,22,,1330690
KALIMANTAN_BARAT,2020-08-09,13,,4641876
LAMPUNG,2020-08-08,12,,8455434
SULAWESI_TENGAH,2020-08-07,11,,2047415
NUSA_TENGGARA_TIMUR,2020-08-05,10,,3096127
