zone,last_update,value,percentage,population
MALUKU_UTARA,2020-08-05,850.98,,
NUSA_TENGGARA_TIMUR,2020-08-05,271.43,,
KALIMANTAN_UTARA,2020-08-04,268.42,,
KEPULAUAN_BANGKA_BELITUNG,2020-08-05,225.00,,
BALI,2020-08-05,136.48,,
SULAWESI_TENGGARA,2020-08-05,131.90,,
JAWA_TENGAH,2020-08-05,131.77,,
SUMATERA_UTARA,2020-08-05,128.48,,
JAWA_TIMUR,2020-08-05,112.39,,
KALIMANTAN_SELATAN,2020-08-05,106.63,,
JAWA_BARAT,2020-08-05,99.51,,
NATIONAL,2020-08-06,91.43,,
SUMATERA_SELATAN,2020-08-05,90.13,,
KALIMANTAN_TENGAH,2020-08-05,87.79,,
BANTEN,2020-08-05,77.14,,
DKI_JAKARTA,2020-08-05,76.53,,
SULAWESI_SELATAN,2020-08-05,76.18,,
GORONTALO,2020-08-05,73.19,,
MALUKU,2020-08-05,66.98,,
BENGKULU,2020-08-05,62.96,,
SULAWESI_UTARA,2020-08-05,62.47,,
PAPUA_BARAT,2020-08-05,60.29,,
SULAWESI_BARAT,2020-08-05,59.09,,
PAPUA,2020-08-05,58.82,,
NUSA_TENGGARA_BARAT,2020-08-05,52.61,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-05,50.93,,
SULAWESI_TENGAH,2020-08-05,50.00,,
KALIMANTAN_TIMUR,2020-08-05,49.16,,
LAMPUNG,2020-08-05,43.48,,
RIAU,2020-08-05,31.41,,
SUMATERA_BARAT,2020-08-05,22.61,,
JAMBI,2020-08-05,2.56,,
ACEH,2020-08-05,0.00,,
KALIMANTAN_BARAT,2020-07-31,0.00,,
KEPULAUAN_RIAU,2020-08-05,0.00,,
