zone,last_update,value,percentage,population
JAWA_TIMUR,2020-07-14,8986,24.14,
DKI_JAKARTA,2020-07-14,4396,11.81,
SULAWESI_SELATAN,2020-07-14,3894,10.46,
JAWA_TENGAH,2020-07-14,3421,9.19,
JAWA_BARAT,2020-07-14,3134,8.42,
KALIMANTAN_SELATAN,2020-07-14,2723,7.31,
SUMATERA_UTARA,2020-07-14,1762,4.73,
SUMATERA_SELATAN,2020-07-14,1309,3.52,
PAPUA,2020-07-14,1247,3.35,
SULAWESI_UTARA,2020-07-14,1199,3.22,
MALUKU_UTARA,2020-07-14,965,2.59,
BALI,2020-07-14,759,2.04,
KALIMANTAN_TENGAH,2020-07-14,675,1.81,
NUSA_TENGGARA_BARAT,2020-07-14,500,1.34,
BANTEN,2020-07-14,364,0.98,
MALUKU,2020-07-13,316,0.85,
KALIMANTAN_TIMUR,2020-07-14,192,0.52,
SULAWESI_TENGGARA,2020-07-14,171,0.46,
GORONTALO,2020-07-14,130,0.35,
PAPUA_BARAT,2020-07-14,91,0.24,
SUMATERA_BARAT,2020-07-14,89,0.24,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-14,61,0.16,
BENGKULU,2020-07-14,48,0.13,
SULAWESI_BARAT,2020-07-14,45,0.12,
ACEH,2020-07-14,41,0.11,
LAMPUNG,2020-07-13,35,0.09,
KEPULAUAN_RIAU,2020-07-14,29,0.08,
NUSA_TENGGARA_TIMUR,2020-07-08,29,0.08,
JAMBI,2020-07-14,28,0.08,
KEPULAUAN_BANGKA_BELITUNG,2020-07-14,27,0.07,
KALIMANTAN_UTARA,2020-07-13,25,0.07,
KALIMANTAN_BARAT,2020-07-13,23,0.06,
SULAWESI_TENGAH,2020-07-14,20,0.05,
RIAU,2020-07-14,13,0.03,
