zone,last_update,value,percentage,population
JAWA_TIMUR,2020-07-15,17346,21.24,
DKI_JAKARTA,2020-07-15,14826,18.15,
SULAWESI_SELATAN,2020-07-15,7451,9.12,
JAWA_TENGAH,2020-07-15,5903,7.23,
JAWA_BARAT,2020-07-15,5310,6.50,
KALIMANTAN_SELATAN,2020-07-15,4487,5.49,
SUMATERA_SELATAN,2020-07-15,2783,3.41,
SUMATERA_UTARA,2020-07-15,2589,3.17,
PAPUA,2020-07-15,2425,2.97,
BALI,2020-07-15,2412,2.95,
SULAWESI_UTARA,2020-07-15,1739,2.13,
NUSA_TENGGARA_BARAT,2020-07-15,1618,1.98,
BANTEN,2020-07-15,1554,1.90,
KALIMANTAN_TENGAH,2020-07-14,1250,1.53,
MALUKU_UTARA,2020-07-15,1184,1.45,
MALUKU,2020-07-15,920,1.13,
SUMATERA_BARAT,2020-07-15,805,0.99,
KALIMANTAN_TIMUR,2020-07-15,753,0.92,
SULAWESI_TENGGARA,2020-07-15,531,0.65,
GORONTALO,2020-07-15,392,0.48,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-15,381,0.47,
KALIMANTAN_BARAT,2020-07-13,352,0.43,
KEPULAUAN_RIAU,2020-07-15,336,0.41,
PAPUA_BARAT,2020-07-14,292,0.36,
RIAU,2020-07-14,245,0.30,
KALIMANTAN_UTARA,2020-07-13,215,0.26,
LAMPUNG,2020-07-15,214,0.26,
SULAWESI_TENGAH,2020-07-15,195,0.24,
KEPULAUAN_BANGKA_BELITUNG,2020-07-15,175,0.21,
BENGKULU,2020-07-15,170,0.21,
SULAWESI_BARAT,2020-07-15,152,0.19,
ACEH,2020-07-15,137,0.17,
JAMBI,2020-07-15,124,0.15,
NUSA_TENGGARA_TIMUR,2020-07-08,121,0.15,
