zone,last_update,value,percentage,population
JAWA_TIMUR,2020-07-14,1246,33.58,
DKI_JAKARTA,2020-07-14,681,18.36,
SULAWESI_SELATAN,2020-07-14,238,6.42,
JAWA_TENGAH,2020-07-14,233,6.28,
KALIMANTAN_SELATAN,2020-07-14,219,5.90,
JAWA_BARAT,2020-07-14,181,4.88,
SUMATERA_UTARA,2020-07-14,130,3.50,
SUMATERA_SELATAN,2020-07-14,125,3.37,
SULAWESI_UTARA,2020-07-14,106,2.86,
NUSA_TENGGARA_BARAT,2020-07-14,82,2.21,
BANTEN,2020-07-14,80,2.16,
KALIMANTAN_TENGAH,2020-07-14,69,1.86,
MALUKU_UTARA,2020-07-14,39,1.05,
SUMATERA_BARAT,2020-07-14,32,0.86,
BALI,2020-07-14,25,0.67,
PAPUA,2020-07-14,22,0.59,
GORONTALO,2020-07-14,17,0.46,
KALIMANTAN_TIMUR,2020-07-14,17,0.46,
MALUKU,2020-07-13,17,0.46,
BENGKULU,2020-07-14,16,0.43,
KEPULAUAN_RIAU,2020-07-14,15,0.40,
LAMPUNG,2020-07-13,12,0.32,
RIAU,2020-07-14,11,0.30,
SULAWESI_TENGGARA,2020-07-14,10,0.27,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-14,9,0.24,
SULAWESI_TENGAH,2020-07-14,6,0.16,
ACEH,2020-07-14,5,0.13,
PAPUA_BARAT,2020-07-14,3,0.08,
SULAWESI_BARAT,2020-07-14,3,0.08,
JAMBI,2020-07-14,2,0.05,
KALIMANTAN_BARAT,2020-07-13,2,0.05,
KALIMANTAN_UTARA,2020-07-13,2,0.05,
KEPULAUAN_BANGKA_BELITUNG,2020-07-14,2,0.05,
NUSA_TENGGARA_TIMUR,2020-07-08,1,0.03,
