zone,last_update,value,percentage,population
DKI_JAKARTA,2020-07-14,9489,24.30,
JAWA_TIMUR,2020-07-14,6949,17.80,
SULAWESI_SELATAN,2020-07-14,3161,8.09,
JAWA_TENGAH,2020-07-14,1988,5.09,
JAWA_BARAT,2020-07-14,1920,4.92,
BALI,2020-07-14,1565,4.01,
KALIMANTAN_SELATAN,2020-07-14,1436,3.68,
SUMATERA_SELATAN,2020-07-14,1319,3.38,
BANTEN,2020-07-14,1107,2.83,
PAPUA,2020-07-14,1096,2.81,
NUSA_TENGGARA_BARAT,2020-07-14,1010,2.59,
SUMATERA_BARAT,2020-07-14,682,1.75,
SUMATERA_UTARA,2020-07-14,598,1.53,
MALUKU,2020-07-13,567,1.45,
KALIMANTAN_TIMUR,2020-07-14,510,1.31,
KALIMANTAN_TENGAH,2020-07-14,506,1.30,
SULAWESI_UTARA,2020-07-14,390,1.00,
SULAWESI_TENGGARA,2020-07-14,340,0.87,
KALIMANTAN_BARAT,2020-07-13,327,0.84,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-14,302,0.77,
KEPULAUAN_RIAU,2020-07-14,288,0.74,
GORONTALO,2020-07-14,238,0.61,
RIAU,2020-07-14,221,0.57,
PAPUA_BARAT,2020-07-14,198,0.51,
KALIMANTAN_UTARA,2020-07-13,188,0.48,
SULAWESI_TENGAH,2020-07-14,168,0.43,
LAMPUNG,2020-07-13,161,0.41,
KEPULAUAN_BANGKA_BELITUNG,2020-07-14,145,0.37,
MALUKU_UTARA,2020-07-14,141,0.36,
BENGKULU,2020-07-14,104,0.27,
SULAWESI_BARAT,2020-07-14,98,0.25,
JAMBI,2020-07-14,93,0.24,
NUSA_TENGGARA_TIMUR,2020-07-08,91,0.23,
ACEH,2020-07-14,64,0.16,
