zone,last_update,value,percentage,population
MALUKU_UTARA,2020-07-14,84.28,,
SUMATERA_UTARA,2020-07-14,70.76,,
SULAWESI_UTARA,2020-07-14,70.74,,
KALIMANTAN_SELATAN,2020-07-14,62.20,,
JAWA_TENGAH,2020-07-14,60.63,,
JAWA_BARAT,2020-07-14,59.87,,
KALIMANTAN_TENGAH,2020-07-14,54.00,,
SULAWESI_SELATAN,2020-07-14,53.39,,
PAPUA,2020-07-14,52.73,,
JAWA_TIMUR,2020-07-14,52.30,,
SUMATERA_SELATAN,2020-07-14,47.55,,
NATIONAL,2020-07-15,46.50,,
ACEH,2020-07-14,37.27,,
MALUKU,2020-07-13,35.11,,
GORONTALO,2020-07-14,33.77,,
SULAWESI_TENGGARA,2020-07-14,32.82,,
BALI,2020-07-14,32.31,,
NUSA_TENGGARA_BARAT,2020-07-14,31.41,,
PAPUA_BARAT,2020-07-14,31.16,,
SULAWESI_BARAT,2020-07-14,30.82,,
DKI_JAKARTA,2020-07-14,30.18,,
BENGKULU,2020-07-14,28.57,,
KALIMANTAN_TIMUR,2020-07-14,26.70,,
NUSA_TENGGARA_TIMUR,2020-07-08,23.97,,
BANTEN,2020-07-14,23.47,,
JAMBI,2020-07-14,22.76,,
LAMPUNG,2020-07-13,16.83,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-14,16.40,,
KEPULAUAN_BANGKA_BELITUNG,2020-07-14,15.52,,
KALIMANTAN_UTARA,2020-07-13,11.63,,
SUMATERA_BARAT,2020-07-14,11.08,,
SULAWESI_TENGAH,2020-07-14,10.31,,
KEPULAUAN_RIAU,2020-07-14,8.73,,
KALIMANTAN_BARAT,2020-07-13,6.53,,
RIAU,2020-07-14,5.31,,
