zone,last_update,value,percentage,population
JAWA_TIMUR,2020-07-13,7.28,,
SUMATERA_SELATAN,2020-07-13,5.20,,
BANTEN,2020-07-13,4.77,,
DKI_JAKARTA,2020-07-13,4.73,,
SUMATERA_UTARA,2020-07-13,4.63,,
SULAWESI_UTARA,2020-07-13,4.49,,
BENGKULU,2020-07-12,4.40,,
KALIMANTAN_TENGAH,2020-07-13,4.39,,
JAWA_BARAT,2020-07-13,4.29,,
KALIMANTAN_SELATAN,2020-07-13,4.28,,
KEPULAUAN_RIAU,2020-07-12,4.13,,
SULAWESI_SELATAN,2020-07-13,4.05,,
SULAWESI_TENGGARA,2020-07-13,3.72,,
NUSA_TENGGARA_BARAT,2020-07-13,3.60,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-13,3.50,,
LAMPUNG,2020-07-13,3.41,,
RIAU,2020-07-13,3.36,,
JAWA_TENGAH,2020-07-13,3.28,,
MALUKU,2020-07-13,3.28,,
SULAWESI_TENGAH,2020-07-08,2.79,,
SUMATERA_BARAT,2020-07-12,2.63,,
MALUKU_UTARA,2020-07-13,2.53,,
KALIMANTAN_TIMUR,2020-07-13,2.46,,
PAPUA,2020-07-13,2.44,,
BALI,2020-07-13,2.19,,
GORONTALO,2020-07-13,2.12,,
ACEH,2020-07-12,1.92,,
SULAWESI_BARAT,2020-07-13,1.74,,
KEPULAUAN_BANGKA_BELITUNG,2020-07-11,1.65,,
PAPUA_BARAT,2020-07-12,1.55,,
KALIMANTAN_UTARA,2020-07-13,1.40,,
KALIMANTAN_BARAT,2020-07-13,1.23,,
NUSA_TENGGARA_TIMUR,2020-07-08,0.94,,
JAMBI,2020-07-09,0.83,,
