zone,last_update,value,percentage,population
JAWA_TIMUR,2020-07-13,814,,11058944
PAPUA,2020-07-13,717,,1740450
DKI_JAKARTA,2020-07-13,385,,11058944
SULAWESI_SELATAN,2020-07-13,348,,11058944
JAWA_TENGAH,2020-07-13,305,,11058944
MALUKU,2020-07-13,300,,1054437
JAWA_BARAT,2020-07-13,279,,11058944
KALIMANTAN_SELATAN,2020-07-13,234,,11058944
BALI,2020-07-13,170,,4247341
SUMATERA_UTARA,2020-07-13,150,,11058944
SUMATERA_SELATAN,2020-07-13,115,,11058944
SULAWESI_UTARA,2020-07-13,108,,11058944
GORONTALO,2020-07-13,101,,1068216
MALUKU_UTARA,2020-07-13,87,,11058944
KALIMANTAN_TENGAH,2020-07-13,58,,11058944
NUSA_TENGGARA_BARAT,2020-07-13,45,,11058944
BENGKULU,2020-07-12,36,,1248241
BANTEN,2020-07-13,35,,10451189
KALIMANTAN_TIMUR,2020-07-13,16,,11058944
SULAWESI_TENGGARA,2020-07-13,16,,11058944
JAMBI,2020-07-09,13,,3080619
ACEH,2020-07-12,10,,3856404
SUMATERA_BARAT,2020-07-12,9,,11058944
PAPUA_BARAT,2020-07-12,8,,11058944
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-13,5,,11058944
SULAWESI_BARAT,2020-07-13,4,,11058944
LAMPUNG,2020-07-13,4,,8455434
NUSA_TENGGARA_TIMUR,2020-07-08,3,,11058944
KEPULAUAN_BANGKA_BELITUNG,2020-07-11,3,,11058944
KALIMANTAN_UTARA,2020-07-13,2,,11058944
KALIMANTAN_BARAT,2020-07-13,2,,11058944
SULAWESI_TENGAH,2020-07-08,2,,11058944
KEPULAUAN_RIAU,2020-07-12,2,,11058944
RIAU,2020-07-13,2,,5492714
