zone,last_update,value,percentage,population
JAWA_TIMUR,2020-07-13,1522,,11058944
PAPUA,2020-07-13,1358,,1740450
DKI_JAKARTA,2020-07-13,1293,,11058944
MALUKU,2020-07-13,854,,1054437
SULAWESI_SELATAN,2020-07-13,642,,11058944
BALI,2020-07-13,529,,4247341
JAWA_TENGAH,2020-07-13,503,,11058944
JAWA_BARAT,2020-07-13,467,,11058944
KALIMANTAN_SELATAN,2020-07-13,381,,11058944
GORONTALO,2020-07-13,340,,1068216
NATIONAL,2020-07-14,320,,245596822
SUMATERA_SELATAN,2020-07-13,244,,11058944
SUMATERA_UTARA,2020-07-13,213,,11058944
SULAWESI_UTARA,2020-07-13,152,,11058944
BANTEN,2020-07-13,148,,10451189
NUSA_TENGGARA_BARAT,2020-07-13,142,,11058944
BENGKULU,2020-07-12,131,,1248241
KALIMANTAN_TENGAH,2020-07-13,110,,11058944
MALUKU_UTARA,2020-07-13,103,,11058944
SUMATERA_BARAT,2020-07-12,72,,11058944
KALIMANTAN_TIMUR,2020-07-13,63,,11058944
SULAWESI_TENGGARA,2020-07-13,47,,11058944
RIAU,2020-07-13,44,,5492714
JAMBI,2020-07-09,39,,3080619
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-13,33,,11058944
KALIMANTAN_BARAT,2020-07-13,32,,11058944
KEPULAUAN_RIAU,2020-07-12,30,,11058944
ACEH,2020-07-12,27,,3856404
PAPUA_BARAT,2020-07-12,26,,11058944
LAMPUNG,2020-07-13,25,,8455434
KALIMANTAN_UTARA,2020-07-13,19,,11058944
SULAWESI_TENGAH,2020-07-08,17,,11058944
KEPULAUAN_BANGKA_BELITUNG,2020-07-11,16,,11058944
SULAWESI_BARAT,2020-07-13,13,,11058944
NUSA_TENGGARA_TIMUR,2020-07-08,11,,11058944
