zone,last_update,value,percentage,population
ACEH,2020-07-12,1,,3856404
BALI,2020-07-13,6,,4247341
BANTEN,2020-07-13,8,,10451189
BENGKULU,2020-07-12,13,,1248241
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-13,1,,11058944
DKI_JAKARTA,2020-07-13,61,,11058944
GORONTALO,2020-07-13,16,,1068216
JAMBI,2020-07-09,0,,3080619
JAWA_BARAT,2020-07-13,16,,11058944
JAWA_TENGAH,2020-07-13,21,,11058944
JAWA_TIMUR,2020-07-13,111,,11058944
KALIMANTAN_BARAT,2020-07-13,0,,11058944
KALIMANTAN_SELATAN,2020-07-13,20,,11058944
KALIMANTAN_TENGAH,2020-07-13,6,,11058944
KALIMANTAN_TIMUR,2020-07-13,2,,11058944
KALIMANTAN_UTARA,2020-07-13,0,,11058944
KEPULAUAN_BANGKA_BELITUNG,2020-07-11,0,,11058944
KEPULAUAN_RIAU,2020-07-12,1,,11058944
LAMPUNG,2020-07-13,1,,8455434
MALUKU,2020-07-13,16,,1054437
MALUKU_UTARA,2020-07-13,4,,11058944
NATIONAL,2020-07-14,15,,245596822
NUSA_TENGGARA_BARAT,2020-07-13,7,,11058944
NUSA_TENGGARA_TIMUR,2020-07-08,0,,11058944
PAPUA,2020-07-13,13,,1740450
PAPUA_BARAT,2020-07-12,0,,11058944
RIAU,2020-07-13,2,,5492714
SULAWESI_BARAT,2020-07-13,0,,11058944
SULAWESI_SELATAN,2020-07-13,20,,11058944
SULAWESI_TENGAH,2020-07-08,1,,11058944
SULAWESI_TENGGARA,2020-07-13,1,,11058944
SULAWESI_UTARA,2020-07-13,10,,11058944
SUMATERA_BARAT,2020-07-12,3,,11058944
SUMATERA_SELATAN,2020-07-13,11,,11058944
SUMATERA_UTARA,2020-07-13,11,,11058944
