zone,last_update,value,percentage,population
KALIMANTAN_BARAT,2020-07-13,92.90,,
RIAU,2020-07-14,90.20,,
SULAWESI_TENGAH,2020-07-15,89.74,,
KALIMANTAN_UTARA,2020-07-13,87.44,,
KEPULAUAN_RIAU,2020-07-15,87.20,,
SUMATERA_BARAT,2020-07-15,85.34,,
KEPULAUAN_BANGKA_BELITUNG,2020-07-15,85.14,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-15,81.10,,
JAMBI,2020-07-15,76.61,,
LAMPUNG,2020-07-15,75.70,,
NUSA_TENGGARA_TIMUR,2020-07-08,75.21,,
BANTEN,2020-07-15,73.36,,
KALIMANTAN_TIMUR,2020-07-15,68.66,,
PAPUA_BARAT,2020-07-14,67.81,,
BALI,2020-07-15,66.58,,
GORONTALO,2020-07-15,65.56,,
DKI_JAKARTA,2020-07-15,65.30,,
SULAWESI_TENGGARA,2020-07-15,64.60,,
SULAWESI_BARAT,2020-07-15,64.47,,
NUSA_TENGGARA_BARAT,2020-07-15,63.35,,
MALUKU,2020-07-15,62.83,,
BENGKULU,2020-07-15,61.76,,
NATIONAL,2020-07-16,49.40,,
SUMATERA_SELATAN,2020-07-15,48.11,,
PAPUA,2020-07-15,47.63,,
ACEH,2020-07-15,46.72,,
SULAWESI_SELATAN,2020-07-15,43.94,,
JAWA_TIMUR,2020-07-15,43.06,,
KALIMANTAN_TENGAH,2020-07-14,40.64,,
JAWA_BARAT,2020-07-15,38.79,,
JAWA_TENGAH,2020-07-15,35.71,,
KALIMANTAN_SELATAN,2020-07-15,33.54,,
SUMATERA_UTARA,2020-07-15,23.41,,
SULAWESI_UTARA,2020-07-15,23.12,,
MALUKU_UTARA,2020-07-15,12.16,,
