date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0,0
2020-04-10,1,1,0,0,0,0,1,1
2020-04-11,1,0,0,0,0,0,1,0
2020-04-12,1,0,0,0,0,0,1,0
2020-04-13,1,0,0,0,0,0,1,0
2020-04-14,1,0,0,0,0,0,1,0
2020-04-15,1,0,0,0,0,0,1,0
2020-04-16,4,3,0,0,0,0,4,3
2020-04-17,4,0,0,0,0,0,4,0
2020-04-18,4,0,0,0,0,0,4,0
2020-04-19,4,0,0,0,0,0,4,0
2020-04-20,4,0,0,0,0,0,4,0
2020-04-21,7,3,0,0,1,1,6,2
2020-04-22,7,0,0,0,1,0,6,0
2020-04-23,7,0,0,0,1,0,6,0
2020-04-24,12,5,0,0,1,0,11,5
2020-04-25,14,2,0,0,1,0,13,2
2020-04-26,14,0,0,0,1,0,13,0
2020-04-27,14,0,0,0,1,0,13,0
2020-04-28,15,1,2,2,1,0,12,-1
2020-04-29,15,0,2,0,1,0,12,0
2020-04-30,15,0,2,0,1,0,12,0
2020-05-01,15,0,2,0,1,0,12,0
2020-05-02,15,0,2,0,1,0,12,0
2020-05-03,15,0,2,0,1,0,12,0
2020-05-04,15,0,2,0,1,0,12,0
2020-05-05,15,0,6,4,1,0,8,-4
2020-05-06,15,0,7,1,1,0,7,-1
2020-05-07,19,4,7,0,1,0,11,4
2020-05-08,19,0,10,3,1,0,8,-3
2020-05-09,19,0,10,0,1,0,8,0
2020-05-10,19,0,11,1,1,0,7,-1
2020-05-11,19,0,11,0,1,0,7,0
2020-05-12,19,0,11,0,1,0,7,0
2020-05-13,19,0,12,1,1,0,6,-1
2020-05-14,21,2,13,1,1,0,7,1
2020-05-15,22,1,14,1,1,0,7,0
2020-05-16,23,1,14,0,2,1,7,0
2020-05-17,24,1,14,0,2,0,8,1
2020-05-18,28,4,14,0,2,0,12,4
2020-05-19,28,0,14,0,2,0,12,0
2020-05-20,28,0,15,1,2,0,11,-1
2020-05-21,44,16,15,0,2,0,27,16
2020-05-22,47,3,17,2,2,0,28,1
2020-05-23,49,2,18,1,2,0,29,1
2020-05-24,58,9,18,0,2,0,38,9
