date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,3,3,0,0,0,0,3,3
2020-03-03,4,1,0,0,1,1,3,0
2020-03-04,5,1,0,0,1,0,4,1
2020-03-05,6,1,0,0,1,0,5,1
2020-03-06,7,1,0,0,1,0,6,1
2020-03-07,7,0,0,0,1,0,6,0
2020-03-08,7,0,0,0,1,0,6,0
2020-03-09,7,0,0,0,1,0,6,0
2020-03-10,7,0,0,0,1,0,6,0
2020-03-11,7,0,0,0,2,1,5,-1
2020-03-12,8,1,0,0,2,0,6,1
2020-03-13,12,4,4,4,2,0,6,0
2020-03-14,12,0,4,0,2,0,6,0
2020-03-15,12,0,4,0,2,0,6,0
2020-03-16,13,1,4,0,2,0,7,1
2020-03-17,24,11,4,0,2,0,18,11
2020-03-18,29,5,5,1,3,1,21,3
2020-03-19,36,7,5,0,4,1,27,6
2020-03-20,56,20,5,0,6,2,45,18
2020-03-21,61,5,5,0,6,0,50,5
2020-03-22,64,3,5,0,9,3,50,0
2020-03-23,71,7,5,0,11,2,55,5
2020-03-24,73,2,6,1,12,1,55,0
2020-03-25,77,4,6,0,12,0,59,4
2020-03-26,85,8,6,0,12,0,67,8
2020-03-27,112,27,6,0,16,4,90,23
2020-03-28,135,23,7,1,18,2,110,20
2020-03-29,168,33,8,1,20,2,140,30
2020-03-30,194,26,11,3,20,0,163,23
2020-03-31,203,9,11,0,20,0,172,9
2020-04-01,229,26,11,0,20,0,198,26
2020-04-02,253,24,12,1,24,4,217,19
2020-04-03,255,2,14,2,25,1,216,-1
2020-04-04,280,25,14,0,27,2,239,23
2020-04-05,290,10,14,0,27,0,249,10
2020-04-06,310,20,15,1,28,1,267,18
2020-04-07,389,79,18,3,28,0,343,76
2020-04-08,413,24,19,1,33,5,361,18
2020-04-09,435,22,21,2,39,6,375,14
2020-04-10,445,10,21,0,39,0,385,10
2020-04-11,490,45,22,1,40,1,428,43
2020-04-12,523,33,25,3,44,4,454,26
2020-04-13,600,77,28,3,54,10,518,64
2020-04-14,606,6,29,1,54,0,523,5
2020-04-15,643,37,30,1,57,3,556,33
2020-04-16,665,22,35,5,58,1,572,16
2020-04-17,730,65,51,16,61,3,618,46
2020-04-18,745,15,51,0,61,0,633,15
2020-04-19,799,54,60,9,62,1,677,44
2020-04-20,826,27,64,4,65,3,697,20
2020-04-21,844,18,87,23,70,5,687,-10
2020-04-22,852,8,90,3,73,3,689,2
2020-04-23,879,27,99,9,76,3,704,15
2020-04-24,951,72,102,3,78,2,771,67
2020-04-25,998,47,105,3,78,0,815,44
2020-04-26,1010,12,106,1,78,0,826,11
2020-04-27,1050,40,109,3,79,1,862,36
2020-04-28,1069,19,116,7,80,1,873,11
2020-04-29,1109,40,123,7,80,0,906,33
2020-04-30,1114,5,160,37,84,4,870,-36
2020-05-01,1118,4,163,3,84,0,871,1
2020-05-02,1154,36,166,3,85,1,903,32
2020-05-03,1168,14,174,8,86,1,908,5
2020-05-04,1354,186,181,7,89,3,1084,176
2020-05-05,1406,52,191,10,90,1,1125,41
2020-05-06,1427,21,202,11,93,3,1132,7
2020-05-07,1478,51,210,8,93,0,1175,43
2020-05-08,1508,30,211,1,95,2,1202,27
2020-05-09,1539,31,230,19,98,3,1211,9
2020-05-10,1539,0,230,0,98,0,1211,0
2020-05-11,1594,55,241,11,101,3,1252,41
2020-05-12,1647,53,245,4,101,0,1301,49
2020-05-13,1655,8,272,27,101,0,1282,-19
2020-05-14,1665,10,279,7,102,1,1284,2
2020-05-15,1698,33,297,18,103,1,1298,14
2020-05-16,1722,24,299,2,103,0,1320,22
2020-05-17,1754,32,357,58,113,10,1284,-36
2020-05-18,1775,21,434,77,127,14,1214,-70
2020-05-19,1798,23,448,14,128,1,1222,8
2020-05-20,1941,143,450,2,128,0,1363,141
2020-05-21,2010,69,461,11,128,0,1421,58
2020-05-22,2049,39,474,13,130,2,1445,24
2020-05-23,2105,56,515,41,132,2,1458,13
2020-05-24,2152,47,526,11,133,1,1493,35
2020-05-25,2173,21,530,4,133,0,1510,17
2020-05-26,2190,17,556,26,142,9,1492,-18
2020-05-27,2213,23,592,36,147,5,1474,-18
2020-05-28,2238,25,638,46,147,0,1453,-21
2020-05-29,2278,40,645,7,148,1,1485,32
2020-05-30,2298,20,679,34,150,2,1469,-16
2020-05-31,2336,38,688,9,150,0,1498,29
2020-06-01,2377,41,696,8,150,0,1531,33
2020-06-02,2395,18,732,36,157,7,1506,-25
2020-06-03,2399,4,789,57,160,3,1450,-56
2020-06-04,2407,8,809,20,161,1,1437,-13
2020-06-05,2422,15,858,49,164,3,1400,-37
2020-06-06,2435,13,876,18,164,0,1395,-5
2020-06-07,2469,34,982,106,164,0,1323,-72
2020-06-08,2492,23,1057,75,167,3,1268,-55
2020-06-09,2521,29,1072,15,167,0,1282,14
2020-06-10,2573,52,1110,38,167,0,1296,14
2020-06-11,2621,48,1131,21,167,0,1323,27
2020-06-12,2636,15,1177,46,167,0,1292,-31
2020-06-13,2648,12,1213,36,167,0,1268,-24
2020-06-14,2663,15,1257,44,167,0,1239,-29
2020-06-15,2687,24,1264,7,168,1,1255,16
2020-06-16,2724,37,1275,11,168,0,1281,26
2020-06-17,2767,43,1303,28,175,7,1289,8
2020-06-18,2818,51,1356,53,177,2,1285,-4
2020-06-19,2881,63,1386,30,177,0,1318,33
2020-06-20,2900,19,1387,1,177,0,1336,18
2020-06-21,2922,22,1389,2,177,0,1356,20
2020-06-22,2940,18,1413,24,177,0,1350,-6
2020-06-23,2972,32,1443,30,177,0,1352,2
2020-06-24,3018,46,1453,10,177,0,1388,36
2020-06-25,3059,41,1520,67,179,2,1360,-28
2020-06-26,3094,35,1631,111,181,2,1282,-78
2020-06-27,3143,49,1646,15,181,0,1316,34
2020-06-28,3168,25,1655,9,181,0,1332,16
2020-06-29,3211,43,1658,3,181,0,1372,40
2020-06-30,3286,75,1742,84,182,1,1362,-10
2020-07-01,3344,58,1757,15,183,1,1404,42
2020-07-02,3409,65,1802,45,183,0,1424,20
2020-07-03,3442,33,1806,4,183,0,1453,29
2020-07-04,3528,86,1828,22,183,0,1517,64
2020-07-05,3636,108,1845,17,183,0,1608,91
2020-07-06,3765,129,1867,22,184,1,1714,106
2020-07-07,3846,81,1911,44,186,2,1749,35
2020-07-08,3941,95,1936,25,188,2,1817,68
2020-07-09,4905,964,1964,28,192,4,2749,932
2020-07-10,5013,108,1999,35,192,0,2822,73
2020-07-11,5086,73,2028,29,193,1,2865,43
2020-07-12,5131,45,2037,9,193,0,2901,36
2020-07-13,5218,87,2056,19,193,0,2969,68
2020-07-14,5295,77,2090,34,194,1,3011,42
2020-07-15,5369,74,2237,147,195,1,2937,-74
2020-07-16,5409,40,2255,18,195,0,2959,22
2020-07-17,5460,51,2288,33,196,1,2976,17
2020-07-18,5518,58,2306,18,197,1,3015,39
2020-07-19,5542,24,2310,4,197,0,3035,20
2020-07-20,5601,59,2405,95,197,0,2999,-36
2020-07-21,5666,65,2437,32,201,4,3028,29
2020-07-22,5698,32,2460,23,201,0,3037,9
2020-07-23,5762,64,2473,13,202,1,3087,50
2020-07-24,5851,89,2492,19,202,0,3157,70
2020-07-25,5923,72,2525,33,202,0,3196,39
2020-07-26,5973,50,2548,23,202,0,3223,27
2020-07-27,6030,57,2954,406,202,0,2874,-349
2020-07-28,6162,132,3561,607,202,0,2399,-475
2020-07-29,6259,97,3609,48,204,2,2446,47
2020-07-30,6402,143,3943,334,206,2,2253,-193
2020-07-31,6471,69,3960,17,206,0,2305,52
2020-08-01,6530,59,3979,19,206,0,2345,40
2020-08-02,6587,57,3986,7,206,0,2395,50
2020-08-03,6640,53,4033,47,206,0,2401,6
2020-08-04,6733,93,4203,170,211,5,2319,-82
2020-08-05,6857,124,4212,9,211,0,2434,115
2020-08-06,6940,83,4244,32,212,1,2484,50
2020-08-07,7091,151,4307,63,216,4,2568,84
2020-08-08,7332,241,4347,40,219,3,2766,198
2020-08-09,7508,176,4413,66,223,4,2872,106
2020-08-10,7539,31,4440,27,223,0,2876,4
2020-08-11,7631,92,4479,39,227,4,2925,49
2020-08-12,7737,106,4550,71,228,1,2959,34
2020-08-13,7847,110,4567,17,229,1,3051,92
2020-08-14,8209,362,4588,21,230,1,3391,340
2020-08-15,8436,227,4624,36,230,0,3582,191
