date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,2,2,0,0,0,0,2,2
2020-03-29,2,0,0,0,0,0,2,0
2020-03-30,2,0,0,0,0,0,2,0
2020-03-31,2,0,0,0,0,0,2,0
2020-04-01,2,0,0,0,0,0,2,0
2020-04-02,2,0,0,0,0,0,2,0
2020-04-03,8,6,0,0,0,0,8,6
2020-04-04,8,0,0,0,0,0,8,0
2020-04-05,8,0,0,0,0,0,8,0
2020-04-06,15,7,0,0,0,0,15,7
2020-04-07,15,0,0,0,0,0,15,0
2020-04-08,16,1,0,0,0,0,16,1
2020-04-09,16,0,0,0,0,0,16,0
2020-04-10,16,0,0,0,0,0,16,0
2020-04-11,16,0,0,0,1,1,15,-1
2020-04-12,16,0,0,0,1,0,15,0
2020-04-13,16,0,0,0,1,0,15,0
2020-04-14,16,0,0,0,1,0,15,0
2020-04-15,20,4,1,1,1,0,18,3
2020-04-16,28,8,2,1,1,0,25,7
2020-04-17,47,19,2,0,1,0,44,19
2020-04-18,50,3,2,0,1,0,47,3
2020-04-19,69,19,2,0,1,0,66,19
2020-04-20,73,4,2,0,1,0,70,4
2020-04-21,77,4,2,0,1,0,74,4
2020-04-22,77,0,2,0,1,0,74,0
2020-04-23,77,0,2,0,1,0,74,0
2020-04-24,77,0,2,0,1,0,74,0
2020-04-25,83,6,2,0,1,0,80,6
2020-04-26,89,6,2,0,1,0,86,6
2020-04-27,90,1,2,0,1,0,87,1
2020-04-28,92,2,2,0,1,0,89,2
2020-04-29,92,0,4,2,1,0,87,-2
2020-04-30,100,8,4,0,1,0,95,8
2020-05-01,115,15,5,1,1,0,109,14
2020-05-02,122,7,5,0,1,0,116,7
2020-05-03,122,0,5,0,1,0,116,0
2020-05-04,130,8,5,0,1,0,124,8
2020-05-05,131,1,6,1,1,0,124,0
2020-05-06,131,0,6,0,1,0,124,0
2020-05-07,131,0,6,0,1,0,124,0
2020-05-08,131,0,6,0,1,0,124,0
2020-05-09,131,0,6,0,1,0,124,0
2020-05-10,131,0,7,1,1,0,123,-1
2020-05-11,132,1,7,0,1,0,124,1
2020-05-12,132,0,12,5,1,0,119,-5
2020-05-13,138,6,18,6,1,0,119,0
2020-05-14,138,0,20,2,1,0,117,-2
2020-05-15,141,3,29,9,1,0,111,-6
2020-05-16,153,12,41,12,1,0,111,0
2020-05-17,155,2,41,0,1,0,113,2
2020-05-18,155,0,46,5,1,0,108,-5
2020-05-19,160,5,51,5,1,0,108,0
2020-05-20,160,0,51,0,1,0,108,0
2020-05-21,162,2,54,3,1,0,107,-1
2020-05-22,163,1,57,3,1,0,105,-2
2020-05-23,163,0,57,0,1,0,105,0
2020-05-24,164,1,59,2,1,0,104,-1
