nama_provinsi,kode_provinsi,nama_kabupatenkota,kode_kabupatenkota,nama_kecamatan,kode_kecamatan,jumlah_penduduk,total,density,level_kerawanan
PAPUA,91,KAB. KEPULAUAN YAPEN,91.05,Pulau Yerui,910514,932,57,0.0611587982832618,2
DKI JAKARTA,31,KOTA ADM. JAKARTA UTARA,31.72,Tanjung Priok,317202,417781,4054,0.009703648562285025,2
KEPULAUAN BANGKA BELITUNG,19,KAB. BELITUNG,19.02,Tanjung Pandan,190201,98233,790,0.008042103977278512,2
KALIMANTAN TENGAH,62,KAB. BARITO TIMUR,62.13,Banua Lima,621302,6555,51,0.007780320366132723,2
GORONTALO,75,KAB. PAHUWATO,75.04,Marisa,750404,21043,115,0.005465000237608706,2
PAPUA,91,KAB. TOLIKARA,91.14,Karubaga,911401,19401,103,0.005309004690479872,2
JAMBI,15,KAB. MERANGIN,15.02,Batang Masumai,150212,10734,55,0.005123905347493945,2
SULAWESI TENGGARA,74,KAB. BOMBANA,74.06,Kep. Masaloka Raya,740617,2399,12,0.005002084201750729,2
DKI JAKARTA,31,KOTA ADM. JAKARTA PUSAT,31.71,Kemayoran,317103,264252,1319,0.004991447557634379,2
DKI JAKARTA,31,KOTA ADM. JAKARTA PUSAT,31.71,Cempaka Putih,317105,101597,474,0.004665492091301908,2
PAPUA BARAT,92,KAB. SORONG,92.01,Sorong,920143,923,4,0.004333694474539545,2
KALIMANTAN TENGAH,62,KOTA PALANGKARAYA,62.71,Pahandut,627101,89198,375,0.004204130137447028,2
GORONTALO,75,KAB. PAHUWATO,75.04,Lemito,750402,11229,47,0.004185590880755188,2
DKI JAKARTA,31,KOTA ADM. JAKARTA PUSAT,31.71,Sawah Besar,317102,133421,551,0.004129784666581722,2
BALI,51,KAB. BADUNG,51.03,Kuta,510301,53626,206,0.0038414202066161937,2
SULAWESI SELATAN,73,KAB. LUWU,73.17,Bajo,731704,16485,61,0.003700333636639369,2
SULAWESI SELATAN,73,KAB. SIDENRENG RAPPANG,73.14,Kulo,731406,14055,52,0.0036997509782995376,2
PAPUA,91,KAB. PANIAI,91.08,Aradide,910804,5961,22,0.0036906559302130517,2
SULAWESI SELATAN,73,KOTA MAKASSAR,73.71,Mariso,737101,60369,218,0.003611124915105435,2
SUMATERA UTARA,12,KAB. TOBA SAMOSIR,12.12,Bonatua Lunasi,121223,6216,22,0.0035392535392535394,2
DKI JAKARTA,31,KOTA ADM. JAKARTA PUSAT,31.71,Senen,317104,128934,456,0.0035366931918656055,2
DKI JAKARTA,31,KOTA ADM. JAKARTA PUSAT,31.71,Tanah Abang,317107,181729,616,0.0033896626295197795,2
PAPUA,91,KAB. JAYAPURA,91.03,Gresi Selatan,910318,1304,4,0.003067484662576687,2
PAPUA,91,KOTA JAYAPURA,91.71,Heram,917105,70815,211,0.002979594718633058,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. SLEMAN,34.04,Depok,340407,122305,358,0.002927108458362291,2
DKI JAKARTA,31,KOTA ADM. JAKARTA SELATAN,31.74,Jagakarsa,317409,354416,1037,0.0029259401381427474,2
DKI JAKARTA,31,KOTA ADM. JAKARTA TIMUR,31.75,Matraman,317501,190742,558,0.0029254175797674346,2
SULAWESI TENGGARA,74,KOTA KENDARI,74.71,Baruga,747103,31981,92,0.0028767080454019573,2
BALI,51,KAB. BADUNG,51.03,Kuta Selatan,510305,105927,304,0.0028699009695356235,2
DKI JAKARTA,31,KOTA ADM. JAKARTA BARAT,31.73,Taman Sari,317303,130049,365,0.0028066344224100146,2
DKI JAKARTA,31,KOTA ADM. JAKARTA PUSAT,31.71,Gambir,317101,100849,279,0.002766512310483991,2
JAWA TIMUR,35,KOTA SURABAYA,35.78,Benowo,357819,65907,182,0.002761466915502147,2
PAPUA,91,KAB. MERAUKE,91.01,Merauke,910101,101826,281,0.0027596095299825193,2
BANTEN,36,KOTA TANGERANG SELATAN,36.74,Pondok Aren,367403,272428,747,0.0027420088977638127,2
KALIMANTAN TENGAH,62,KAB. KATINGAN,62.06,Pulau Malan,620604,10252,28,0.0027311744049941474,2
JAWA BARAT,32,KOTA DEPOK,32.76,Sawangan,327603,150935,407,0.0026965249942028026,2
SUMATERA UTARA,12,KAB. PAKPAK BHARAT,12.15,Sitelu Tali Urang Julu,121504,4502,12,0.0026654820079964462,2
BANTEN,36,KOTA TANGERANG,36.71,Tangerang,367101,153793,409,0.0026594188292054905,2
JAWA TENGAH,33,KOTA SEMARANG,33.74,Gajahmungkur,337409,59591,158,0.0026514070916749174,2
NUSA TENGGARA BARAT,52,KOTA MATARAM,52.71,Ampenan,527101,88723,235,0.0026486931235418097,2
JAMBI,15,KAB. MERANGIN,15.02,Tabir Timur,150215,7976,21,0.002632898696088265,2
PAPUA,91,KAB. JAYAWIJAYA,91.02,Kurulu,910203,7290,19,0.002606310013717421,2
SUMATERA UTARA,12,KAB. TOBA SAMOSIR,12.12,Siantar Narumonda,121220,7465,19,0.0025452109845947755,2
JAWA TENGAH,33,KOTA SEMARANG,33.74,Semarang Selatan,337407,68507,171,0.0024960952895324564,2
KALIMANTAN TENGAH,62,KAB. BARITO SELATAN,62.04,Jenamas,620401,8461,21,0.002481976125753457,2
DKI JAKARTA,31,KOTA ADM. JAKARTA UTARA,31.72,Pademangan,317205,168947,419,0.0024800677135433007,2
KALIMANTAN TENGAH,62,KOTA PALANGKARAYA,62.71,Jekan Raya,627103,141058,346,0.0024528917183002734,2
DKI JAKARTA,31,KOTA ADM. JAKARTA SELATAN,31.74,Mampang Prapatan,317403,158722,389,0.0024508259724549844,2
DKI JAKARTA,31,KOTA ADM. JAKARTA SELATAN,31.74,Cilandak,317406,222898,545,0.002445064558677063,2
DKI JAKARTA,31,KOTA ADM. JAKARTA PUSAT,31.71,Menteng,317106,91872,224,0.0024381748519679554,2
DKI JAKARTA,31,KOTA ADM. JAKARTA TIMUR,31.75,Pulogadung,317502,307774,747,0.0024271056034622807,2
KALIMANTAN BARAT,61,KAB. BENGKAYANG,61.07,Sungai Betung,610714,12362,30,0.0024267917812651673,2
KALIMANTAN TENGAH,62,KAB. MURUNG RAYA,62.12,Murung,621201,38549,92,0.002386572933150017,2
BANTEN,36,KOTA TANGERANG,36.71,Cipondoh,367105,203881,479,0.0023494097046806717,2
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,34.71,Gondokusuman,347103,42818,100,0.00233546639263861,2
DKI JAKARTA,31,KOTA ADM. JAKARTA UTARA,31.72,Koja,317203,344168,797,0.0023157295274400876,2
PAPUA,91,KAB. JAYAPURA,91.03,Sentani,910301,75437,174,0.0023065604411628246,2
JAWA TIMUR,35,KAB. GRESIK,35.25,Kebomas,352514,108426,249,0.0022964971501300427,2
MALUKU UTARA,82,KAB. HALMAHERA TIMUR,82.06,Kota Maba,820610,10891,25,0.0022954733265999447,2
DKI JAKARTA,31,KOTA ADM. JAKARTA UTARA,31.72,Kelapa Gading,317206,142815,327,0.0022896754542590064,2
JAWA BARAT,32,KOTA BEKASI,32.75,Bekasi Timur,327501,271422,603,0.002221632734266198,2
BANTEN,36,KOTA TANGERANG SELATAN,36.74,Ciputat,367404,200960,446,0.0022193471337579617,2
DKI JAKARTA,31,KOTA ADM. JAKARTA TIMUR,31.75,Jatinegara,317503,326125,722,0.002213875047911077,2
DKI JAKARTA,31,KOTA ADM. JAKARTA PUSAT,31.71,Johar Baru,317108,145793,322,0.002208610838654805,2
PAPUA,91,KOTA JAYAPURA,91.71,Abepura,917103,128282,283,0.002206077236089241,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. SLEMAN,34.04,Ngaglik,340412,96996,213,0.0021959668439935666,2
