provinsi,tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
DKI JAKARTA,2020-03-01,3,3,0,0,0,0,3,3
DKI JAKARTA,2020-03-02,5,2,0,0,0,0,5,2
DKI JAKARTA,2020-03-03,7,2,0,0,0,0,7,2
DKI JAKARTA,2020-03-04,9,2,0,0,0,0,9,2
DKI JAKARTA,2020-03-05,9,0,0,0,1,1,8,-1
DKI JAKARTA,2020-03-06,9,0,0,0,1,0,8,0
DKI JAKARTA,2020-03-07,9,0,0,0,3,2,6,-2
DKI JAKARTA,2020-03-08,9,0,0,0,3,0,6,0
DKI JAKARTA,2020-03-09,9,0,0,0,4,1,5,-1
DKI JAKARTA,2020-03-10,9,0,0,0,4,0,5,0
DKI JAKARTA,2020-03-11,9,0,0,0,4,0,5,0
DKI JAKARTA,2020-03-12,9,0,4,4,5,1,0,-5
DKI JAKARTA,2020-03-13,9,0,7,3,6,1,-4,-4
DKI JAKARTA,2020-03-14,10,1,8,1,7,1,-5,-1
DKI JAKARTA,2020-03-15,16,6,8,0,10,3,-2,3
DKI JAKARTA,2020-03-16,17,1,8,0,13,3,-4,-2
DKI JAKARTA,2020-03-17,18,1,8,0,14,1,-4,0
DKI JAKARTA,2020-03-18,18,0,8,0,15,1,-5,-1
DKI JAKARTA,2020-03-19,19,1,9,1,15,0,-5,0
DKI JAKARTA,2020-03-20,20,1,10,1,18,3,-8,-3
DKI JAKARTA,2020-03-21,20,0,16,6,21,3,-17,-9
DKI JAKARTA,2020-03-22,20,0,19,3,21,0,-20,-3
DKI JAKARTA,2020-03-23,20,0,19,0,21,0,-20,0
DKI JAKARTA,2020-03-24,20,0,22,3,41,20,-43,-23
DKI JAKARTA,2020-03-25,20,0,22,0,42,1,-44,-1
DKI JAKARTA,2020-03-26,77,57,22,0,44,2,11,55
DKI JAKARTA,2020-03-27,146,69,28,6,52,8,66,55
