levelKerawanan,jumlah_penduduk,total,kode_kecamatan,nama_kecamatan,nama_kabupatenKota,nama_provinsi
2,10734,55,150212,Batang Masumai,KAB. MERANGIN,JAMBI
2,264252,1319,317103,Kemayoran,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,89198,375,627101,Pahandut,KOTA PALANGKARAYA,KALIMANTAN TENGAH
2,133421,551,317102,Sawah Besar,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,190742,558,317501,Matraman,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,150935,407,327603,Sawangan,KOTA DEPOK,JAWA BARAT
2,8461,21,620401,Jenamas,KAB. BARITO SELATAN,KALIMANTAN TENGAH
2,38549,92,621201,Murung,KAB. MURUNG RAYA,KALIMANTAN TENGAH
2,42818,100,347103,Gondokusuman,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,142815,327,317206,Kelapa Gading,KOTA ADM. JAKARTA UTARA,DKI JAKARTA
2,283204,582,317510,Cipayung,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,17776,36,721201,Petasia,KAB. MOROWALI UTARA,SULAWESI TENGAH
2,27132,52,347102,Jetis,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,106141,199,327103,Bogor Tengah,KOTA BOGOR,JAWA BARAT
2,313288,567,317504,Kramatjati,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,21108,38,627104,Sabangau,KOTA PALANGKARAYA,KALIMANTAN TENGAH
2,69510,125,340413,Sleman,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,48518,87,150202,Bangko,KAB. MERANGIN,JAMBI
2,111611,196,331810,Pati,KAB. PATI,JAWA TENGAH
2,76239,132,327324,Arcamanik,KOTA BANDUNG,JAWA BARAT
2,231009,398,317505,Pasar Rebo,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,308956,532,317509,Ciracas,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,71336,122,620301,Selat,KAB. KAPUAS,KALIMANTAN TENGAH
2,88058,148,340301,Wonosari,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA
2,69735,114,527103,Cakranegara,KOTA MATARAM,NUSA TENGGARA BARAT
2,12913,21,627102,Bukit Batu,KOTA PALANGKARAYA,KALIMANTAN TENGAH
2,61302,97,321620,Cikarang Pusat,KAB. BEKASI,JAWA BARAT
2,150806,237,140309,Mandau,KAB. BENGKALIS,RIAU
2,85330,130,327609,Cinere,KOTA DEPOK,JAWA BARAT
2,90053,133,367103,Batuceper,KOTA TANGERANG,BANTEN
2,558831,803,317506,Cakung,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,223528,318,320113,Bojong Gede,KAB. BOGOR,JAWA BARAT
2,79385,106,337408,Candisari,KOTA SEMARANG,JAWA TENGAH
2,113836,146,352510,Manyar,KAB. GRESIK,JAWA TIMUR
2,93514,113,357811,Simokerto,KOTA SURABAYA,JAWA TIMUR
2,94209,110,320112,Kemang,KAB. BOGOR,JAWA BARAT
2,157348,181,337413,Semarang Barat,KOTA SEMARANG,JAWA TENGAH
2,122833,139,352513,Menganti,KAB. GRESIK,JAWA TIMUR
2,55233,62,350614,Papar,KAB. KEDIRI,JAWA TIMUR
2,90976,102,327604,Limo,KOTA DEPOK,JAWA BARAT
2,127202,140,327512,Pondokmelati,KOTA BEKASI,JAWA BARAT
2,70215,77,160307,Lawang Kidul,KAB. MUARA ENIM,SUMATERA SELATAN
2,31959,35,747107,Wua-Wua,KOTA KENDARI,SULAWESI TENGGARA
2,48922,53,350624,Kayen Kidul,KAB. KEDIRI,JAWA TIMUR
2,134741,145,367108,Periuk,KOTA TANGERANG,BANTEN
2,53948,58,340409,Prambanan,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,23714,25,750302,Kabila,KAB. BONE BOLANGO,GORONTALO
2,20372,21,217101,Belakang Padang,KOTA BATAM,KEPULAUAN RIAU
2,224716,228,357810,Tambaksari,KOTA SURABAYA,JAWA TIMUR
2,86225,86,327326,Ujungberung,KOTA BANDUNG,JAWA BARAT
2,44233,44,357829,Bulak,KOTA SURABAYA,JAWA TIMUR
2,118983,118,517102,Denpasar Timur,KOTA DENPASAR,BALI
2,74078,72,327310,Astana Anyar,KOTA BANDUNG,JAWA BARAT
2,79432,73,367407,Setu,KOTA TANGERANG SELATAN,BANTEN
2,49147,45,350417,Bandung,KAB. TULUNGAGUNG,JAWA TIMUR
2,106483,96,350725,Lawang,KAB. MALANG,JAWA TIMUR
2,85078,76,647106,Balikpapan Kota,KOTA BALIKPAPAN,KALIMANTAN TIMUR
2,28722,25,820701,Morotai Selatan,KAB. PULAU MOROTAI,MALUKU UTARA
2,41660,36,357601,Prajuritkulon,KOTA MOJOKERTO,JAWA TIMUR
2,168977,146,357817,Kenjeran,KOTA SURABAYA,JAWA TIMUR
2,30097,26,640802,Muara Wahau,KAB. KUTAI TIMUR,KALIMANTAN TIMUR
2,118284,102,320211,Cibadak,KAB. SUKABUMI,JAWA BARAT
2,107400,92,320110,Parung,KAB. BOGOR,JAWA BARAT
2,83428,71,327323,Rancasari,KOTA BANDUNG,JAWA BARAT
2,71849,61,510405,Ubud,KAB. GIANYAR,BALI
2,25101,21,327329,Cinambo,KOTA BANDUNG,JAWA BARAT
2,69303,56,147106,Rumbai,KOTA PEKANBARU,RIAU
2,29722,24,340306,Panggang,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA
2,31196,25,510304,Petang,KAB. BADUNG,BALI
2,7513,6,710207,Tompaso,KAB. MINAHASA,SULAWESI UTARA
1,36918,29,717202,Madidir,KOTA BITUNG,SULAWESI UTARA
1,20474,16,137302,Barangin,KOTA SAWAHLUNTO,SUMATERA BARAT
1,42634,33,331025,Klaten Tengah,KAB. KLATEN,JAWA TENGAH
1,57352,43,352502,Balongpanggang,KAB. GRESIK,JAWA TIMUR
1,85639,64,327317,Bojongloa Kidul,KOTA BANDUNG,JAWA BARAT
1,51155,38,167116,Sematang Borang,KOTA PALEMBANG,SUMATERA SELATAN
1,17588,13,911105,Skanto,KAB. KEEROM,P A P U A
1,254566,188,320432,Baleendah,KAB. BANDUNG,JAWA BARAT
1,69558,51,147112,Rumbai Pesisir,KOTA PEKANBARU,RIAU
1,52013,38,340206,Pandak,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
1,23365,17,750102,Telaga,KAB. GORONTALO,GORONTALO
1,20687,15,757102,Kota Selatan,KOTA GORONTALO,GORONTALO
1,69063,50,647402,Bontang Selatan,KOTA BONTANG,KALIMANTAN TIMUR
1,12498,9,157104,Pasar Jambi,KOTA JAMBI,JAMBI
1,1395,1,920608,Fafurwar,KAB. TELUK BINTUNI,PAPUA BARAT
1,150156,107,327607,Cipayung,KOTA DEPOK,JAWA BARAT
1,35250,25,640903,Babulu,KAB. PENAJAM PASER UTARA,KALIMANTAN TIMUR
1,54017,38,657103,Tarakan Timur,KOTA TARAKAN,KALIMANTAN UTARA
1,35305,24,357402,Wonoasih,KOTA PROBOLINGGO,JAWA TIMUR
