date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,1,1,0,0,0,0,1,1
2020-03-27,4,3,0,0,0,0,4,3
2020-03-28,5,1,0,0,0,0,5,1
2020-03-29,5,0,0,0,0,0,5,0
2020-03-30,5,0,0,0,0,0,5,0
2020-03-31,5,0,0,0,0,0,5,0
2020-04-01,5,0,0,0,0,0,5,0
2020-04-02,5,0,0,0,0,0,5,0
2020-04-03,5,0,0,0,0,0,5,0
2020-04-04,5,0,0,0,0,0,5,0
2020-04-05,5,0,0,0,0,0,5,0
2020-04-06,5,0,0,0,0,0,5,0
2020-04-07,5,0,0,0,0,0,5,0
2020-04-08,5,0,0,0,0,0,5,0
2020-04-09,5,0,1,1,0,0,4,-1
2020-04-10,5,0,1,0,0,0,4,0
2020-04-11,5,0,1,0,0,0,4,0
2020-04-12,5,0,1,0,0,0,4,0
2020-04-13,5,0,3,2,0,0,2,-2
2020-04-14,5,0,3,0,0,0,2,0
2020-04-15,5,0,3,0,0,0,2,0
2020-04-16,5,0,3,0,0,0,2,0
2020-04-17,5,0,3,0,0,0,2,0
2020-04-18,6,1,3,0,0,0,3,1
2020-04-19,7,1,3,0,0,0,4,1
2020-04-20,7,0,3,0,0,0,4,0
2020-04-21,7,0,3,0,0,0,4,0
2020-04-22,7,0,3,0,0,0,4,0
2020-04-23,7,0,3,0,1,1,3,-1
2020-04-24,8,1,3,0,1,0,4,1
2020-04-25,9,1,3,0,1,0,5,1
2020-04-26,9,0,3,0,1,0,5,0
2020-04-27,9,0,4,1,1,0,4,-1
2020-04-28,9,0,5,1,1,0,3,-1
2020-04-29,9,0,6,1,1,0,2,-1
2020-04-30,10,1,6,0,1,0,3,1
2020-05-01,11,1,6,0,1,0,4,1
2020-05-02,11,0,6,0,1,0,4,0
2020-05-03,12,1,8,2,1,0,3,-1
2020-05-04,12,0,8,0,1,0,3,0
2020-05-05,12,0,8,0,1,0,3,0
2020-05-06,17,5,8,0,1,0,8,5
2020-05-07,17,0,8,0,1,0,8,0
2020-05-08,17,0,11,3,1,0,5,-3
2020-05-09,17,0,11,0,1,0,5,0
2020-05-10,17,0,11,0,1,0,5,0
2020-05-11,17,0,12,1,1,0,4,-1
2020-05-12,17,0,12,0,1,0,4,0
2020-05-13,17,0,13,1,1,0,3,-1
2020-05-14,17,0,13,0,1,0,3,0
2020-05-15,17,0,13,0,1,0,3,0
2020-05-16,18,1,15,2,1,0,2,-1
2020-05-17,18,0,15,0,1,0,2,0
2020-05-18,18,0,15,0,1,0,2,0
2020-05-19,18,0,15,0,1,0,2,0
2020-05-20,18,0,15,0,1,0,2,0
2020-05-21,18,0,15,0,1,0,2,0
2020-05-22,19,1,16,1,1,0,2,0
2020-05-23,19,0,17,1,1,0,1,-1
2020-05-24,19,0,17,0,1,0,1,0
