date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-04-11,4,4,0,0,1,1,3,3
2020-04-25,8,4,1,1,1,0,6,3
2020-05-09,37,29,1,0,2,1,34,28
2020-05-23,69,32,9,8,2,0,58,24
2020-06-06,92,23,37,28,4,2,51,-7
2020-06-20,116,24,71,34,8,4,37,-14
2020-07-04,137,21,94,23,13,5,30,-7
2020-07-18,179,42,107,13,16,3,56,26
2020-08-01,218,39,118,11,19,3,81,25
2020-08-15,277,59,158,40,24,5,95,14
2020-08-29,332,55,173,15,25,1,134,39
2020-09-12,458,126,210,37,30,5,218,84
2020-09-13,466,8,210,0,30,0,226,8
