date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-28,2,2,0,0,0,0,2,2
2020-04-11,16,14,0,0,1,1,15,13
2020-04-25,83,67,2,2,1,0,80,65
2020-05-09,131,48,6,4,1,0,124,44
2020-05-23,163,32,57,51,1,0,105,-19
2020-06-06,168,5,108,51,2,1,58,-47
2020-06-20,175,7,149,41,2,0,24,-34
2020-07-04,206,31,174,25,2,0,30,6
2020-07-18,216,10,192,18,2,0,22,-8
2020-08-01,284,68,214,22,2,0,68,46
2020-08-15,325,41,286,72,2,0,37,-31
2020-08-29,379,54,324,38,2,0,53,16
2020-08-30,382,3,325,1,2,0,55,2
