date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0,1,1
2020-04-11,3,2,0,0,0,0,3,2
2020-04-25,20,17,10,10,0,0,10,7
2020-05-09,32,12,11,1,2,2,19,9
2020-05-23,157,125,21,10,7,5,129,110
2020-06-06,261,104,66,45,8,1,187,58
2020-06-20,581,320,160,94,13,5,408,221
2020-07-04,775,194,374,214,17,4,384,-24
2020-07-18,929,154,598,224,18,1,313,-71
2020-08-01,1124,195,742,144,23,5,359,46
2020-08-15,1448,324,936,194,28,5,484,125
2020-08-26,1748,300,1082,146,33,5,633,149
