date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-14,96,96,8,8,5,5,83,83
2020-03-28,1155,1059,59,51,102,97,994,911
2020-04-11,3842,2687,286,227,327,225,3229,2235
2020-04-25,8607,4765,1042,756,720,393,6845,3616
2020-05-09,13645,5038,2607,1565,959,239,10079,3234
2020-05-23,21745,8100,5249,2642,1351,392,15145,5066
2020-06-06,30514,8769,9907,4658,1801,450,18806,3661
2020-06-20,45029,14515,17883,7976,2429,628,24717,5911
2020-07-04,62142,17113,28219,10336,3089,660,30834,6117
2020-07-18,84882,22740,43268,15049,4016,927,37598,6764
2020-08-01,109936,25054,67919,24651,5193,1177,36824,-774
2020-08-15,137468,27532,91321,23402,6071,878,40076,3252
2020-08-29,169195,31727,122802,31481,7261,1190,39132,-944
2020-09-04,187537,18342,134181,11379,7832,571,45524,6392
