date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-04-11,1,1,0,0,0,0,1,1
2020-04-25,1,0,1,1,0,0,0,-1
2020-05-09,12,11,1,0,0,0,11,11
2020-05-23,79,67,6,5,1,1,72,61
2020-06-06,97,18,14,8,1,0,82,10
2020-06-20,108,11,40,26,1,0,67,-15
2020-07-04,118,10,54,14,1,0,63,-4
2020-07-18,131,13,103,49,1,0,27,-36
2020-08-01,145,14,110,7,1,0,34,7
2020-08-15,165,20,138,28,1,0,26,-8
2020-08-29,176,11,156,18,2,1,18,-8
2020-09-06,206,30,170,14,2,0,34,16
