date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-28,6,6,0,0,0,0,6,6
2020-04-11,60,54,7,7,4,4,49,43
2020-04-25,135,75,32,25,6,2,97,48
2020-05-09,274,139,48,16,6,0,220,123
2020-05-23,490,216,48,0,6,0,436,216
2020-06-06,1001,511,78,30,7,1,916,480
2020-06-20,1351,350,297,219,7,0,1047,131
2020-07-04,1937,586,880,583,16,9,1041,-6
2020-07-18,2540,603,1210,330,26,10,1304,263
2020-08-01,3086,546,1375,165,32,6,1679,375
2020-08-15,3344,258,1997,622,35,3,1312,-367
2020-08-29,3770,426,3109,1112,42,7,619,-693
2020-09-04,3972,202,3178,69,46,4,748,129
