date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-28,32,32,0,0,1,1,31,31
2020-04-11,176,144,24,24,18,17,134,103
2020-04-25,432,256,81,57,34,16,317,183
2020-05-09,710,278,258,177,46,12,406,89
2020-05-23,1261,551,422,164,58,12,781,375
2020-06-06,1833,572,672,250,90,32,1071,290
2020-06-20,3666,1833,1242,570,132,42,2292,1221
2020-07-04,5727,2061,2012,770,167,35,3548,1256
2020-07-18,7857,2130,3661,1649,263,96,3933,385
2020-08-01,9537,1680,6625,2964,318,55,2594,-1339
2020-08-15,10834,1297,7676,1051,338,20,2820,226
2020-08-29,11773,939,9064,1388,358,20,2351,-469
2020-09-06,12684,911,9662,598,370,12,2652,301
