date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-04-11,11,11,1,1,3,3,7,7
2020-04-25,34,23,6,5,3,0,25,18
2020-05-09,51,17,16,10,5,2,30,5
2020-05-23,199,148,31,15,25,20,143,113
2020-06-06,468,269,61,30,46,21,361,218
2020-06-20,806,338,139,78,77,31,590,229
2020-07-04,1189,383,249,110,103,26,837,247
2020-07-18,1849,660,599,350,114,11,1136,299
2020-08-01,2646,797,1244,645,132,18,1270,134
2020-08-15,3259,613,1875,631,144,12,1240,-30
2020-08-18,3313,54,2116,241,148,4,1049,-191
