date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0,1,1
2020-04-11,17,16,1,1,0,0,16,15
2020-04-25,118,101,16,15,1,1,101,85
2020-05-09,277,159,54,38,8,7,215,114
2020-05-23,722,445,101,47,28,20,593,378
2020-06-06,1100,378,295,194,41,13,764,171
2020-06-20,1719,619,747,452,67,26,905,141
2020-07-04,2204,485,1119,372,103,36,982,77
2020-07-18,2965,761,1391,272,137,34,1437,455
2020-08-01,3426,461,1825,434,161,24,1440,3
2020-08-11,3734,308,2370,545,199,38,1165,-275
