date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-30,10,10,0,0,0,0,10,10
2020-04-02,16,6,5,5,0,0,11,1
2020-04-05,27,11,13,8,0,0,14,3
2020-04-08,40,13,13,0,0,0,27,13
2020-04-11,70,30,14,1,0,0,56,29
2020-04-14,83,13,16,2,0,0,67,11
2020-04-17,115,32,30,14,0,0,85,18
2020-04-20,131,16,36,6,1,1,94,9
2020-04-23,158,27,49,13,2,1,107,13
2020-04-26,177,19,69,20,2,0,106,-1
2020-04-29,206,29,90,21,2,0,114,8
2020-05-02,228,22,123,33,2,0,103,-11
2020-05-05,268,40,154,31,2,0,112,9
2020-05-08,291,23,189,35,2,0,100,-12
2020-05-11,305,14,204,15,2,0,99,-1
2020-05-14,328,23,217,13,2,0,109,10
2020-05-17,339,11,243,26,2,0,94,-15
2020-05-20,362,23,269,26,2,0,91,-3
2020-05-23,379,17,280,11,2,0,97,6
2020-05-26,398,19,288,8,2,0,108,11
2020-05-29,434,36,313,25,2,0,119,11
2020-06-01,473,39,327,14,3,1,143,24
2020-06-04,501,28,357,30,3,0,141,-2
2020-06-07,573,72,366,9,3,0,204,63
2020-06-10,631,58,405,39,3,0,223,19
2020-06-13,714,83,455,50,4,1,255,32
2020-06-16,773,59,503,48,4,0,266,11
2020-06-19,966,193,559,56,4,0,403,137
2020-06-22,1067,101,611,52,7,3,449,46
2020-06-25,1201,134,653,42,9,2,539,90
2020-06-28,1402,201,767,114,11,2,624,85
2020-07-01,1511,109,855,88,13,2,643,19
2020-07-04,1783,272,932,77,16,3,835,192
2020-07-07,1924,141,1029,97,23,7,872,37
2020-07-10,2093,169,1197,168,24,1,872,0
2020-07-13,2236,143,1503,306,25,1,708,-164
2020-07-16,2513,277,1713,210,30,5,770,62
2020-07-19,2723,210,1982,269,38,8,703,-67
2020-07-22,2924,201,2171,189,44,6,709,6
2020-07-25,3104,180,2401,230,46,2,657,-52
2020-07-28,3240,136,2620,219,46,0,574,-83
2020-07-31,3398,158,2869,249,46,0,483,-91
2020-08-03,3520,122,3019,150,46,0,455,-28
2020-08-06,3635,115,3161,142,46,0,428,-27
2020-08-09,3770,135,3262,101,47,1,461,33
2020-08-12,3883,113,3381,119,47,0,455,-6
2020-08-15,4015,132,3519,138,47,0,449,-6
2020-08-18,4149,134,3641,122,49,2,459,10
2020-08-21,4359,210,3807,166,49,0,503,44
2020-08-22,0,0,0,0,0,0,0,0
