date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-03,6,6,0,0,0,0,6,6
2020-03-06,8,2,0,0,1,1,7,1
2020-03-09,8,0,0,0,4,3,4,-3
2020-03-12,8,0,4,4,5,1,-1,-5
2020-03-15,15,7,8,4,10,5,-3,-2
2020-03-18,16,1,8,0,15,5,-7,-4
2020-03-21,18,2,16,8,21,6,-19,-12
2020-03-24,18,0,22,6,40,19,-44,-25
2020-03-27,142,124,28,6,50,10,64,108
2020-03-30,263,121,37,9,76,26,150,86
2020-04-02,433,170,39,2,91,15,303,153
2020-04-05,643,210,48,9,116,25,479,176
2020-04-08,937,294,63,15,145,29,729,250
2020-04-11,1397,460,79,16,200,55,1118,389
2020-04-14,1775,378,117,38,250,50,1408,290
2020-04-17,2216,441,172,55,267,17,1777,369
2020-04-20,2484,268,205,33,282,15,1997,220
2020-04-23,2863,379,276,71,285,3,2302,305
2020-04-26,3123,260,285,9,310,25,2528,226
2020-04-29,3398,275,382,97,326,16,2690,162
2020-05-02,3686,288,454,72,347,21,2885,195
2020-05-05,3947,261,635,181,361,14,2951,66
2020-05-08,4228,281,675,40,375,14,3178,227
2020-05-11,4530,302,738,63,390,15,3402,224
2020-05-14,4932,402,1075,337,400,10,3457,55
2020-05-17,5241,309,1210,135,410,10,3621,164
2020-05-20,5497,256,1234,24,418,8,3845,224
2020-05-23,5780,283,1473,239,456,38,3851,6
2020-05-26,6054,274,1571,98,456,0,4027,176
2020-05-29,6386,332,1645,74,464,8,4277,250
2020-06-01,6754,368,2153,508,474,10,4127,-150
2020-06-04,7008,254,2475,322,479,5,4054,-73
2020-06-07,7355,347,2984,509,484,5,3887,-167
2020-06-10,7845,490,3362,378,490,6,3993,106
2020-06-13,8188,343,3682,320,503,13,4003,10
2020-06-16,8543,355,4170,488,513,10,3860,-143
2020-06-19,8967,424,4540,370,549,36,3878,18
2020-06-22,9420,453,4968,428,558,9,3894,16
2020-06-25,9913,493,5390,422,583,25,3940,46
2020-06-28,10434,521,5713,323,596,13,4125,185
2020-07-01,10953,519,6525,812,604,8,3824,-301
2020-07-04,11508,555,7222,697,615,11,3671,-153
2020-07-07,12177,669,8123,901,632,17,3422,-249
2020-07-10,13056,879,8671,548,643,11,3742,320
2020-07-13,14109,1053,9253,582,669,26,4187,445
2020-07-16,14935,826,9700,447,685,16,4550,363
2020-07-19,15850,915,10285,585,708,23,4857,307
2020-07-22,17050,1200,11069,784,730,22,5251,394
2020-07-25,18174,1124,11678,609,736,6,5760,509
2020-07-28,19468,1294,12324,646,765,29,6379,619
2020-07-31,20912,1444,13164,840,812,47,6936,557
2020-08-03,22129,1217,14118,954,840,28,7171,235
2020-08-06,23449,1320,14965,847,881,41,7603,432
2020-08-09,25240,1791,16228,1263,910,29,8102,499
2020-08-12,26666,1426,17409,1181,939,29,8318,216
2020-08-15,28395,1729,19017,1608,960,21,8418,100
2020-08-18,29978,1583,20467,1450,994,34,8517,99
2020-08-21,31780,1802,22194,1727,1043,49,8543,26
2020-08-24,33615,1835,25425,3231,1093,50,7097,-1446
2020-08-27,35726,2111,28249,2824,1126,33,6351,-746
2020-08-28,0,0,0,0,0,0,0,0
