date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-30,6,6,2,2,0,0,4,4
2020-04-02,7,1,2,0,1,1,4,0
2020-04-05,7,0,2,0,1,0,4,0
2020-04-08,7,0,3,1,1,0,3,-1
2020-04-11,7,0,3,0,1,0,3,0
2020-04-14,10,3,5,2,1,0,4,1
2020-04-17,18,8,5,0,1,0,12,8
2020-04-20,18,0,5,0,1,0,12,0
2020-04-23,47,29,7,2,1,0,39,27
2020-04-26,48,1,7,0,1,0,40,1
2020-04-29,55,7,7,0,1,0,47,7
2020-05-02,65,10,7,0,1,0,57,10
2020-05-05,70,5,7,0,1,0,62,5
2020-05-08,92,22,10,3,1,0,81,19
2020-05-11,117,25,10,0,1,0,106,25
2020-05-14,126,9,21,11,2,1,103,-3
2020-05-17,129,3,23,2,2,0,104,1
2020-05-20,129,0,31,8,2,0,96,-8
2020-05-23,165,36,37,6,2,0,126,30
2020-05-26,173,8,43,6,2,0,128,2
2020-05-29,181,8,46,3,2,0,133,5
2020-06-01,193,12,54,8,2,0,137,4
2020-06-04,199,6,93,39,2,0,104,-33
2020-06-07,207,8,113,20,2,0,92,-12
2020-06-10,242,35,137,24,2,0,103,11
2020-06-13,264,22,149,12,2,0,113,10
2020-06-16,267,3,166,17,2,0,99,-14
2020-06-19,293,26,185,19,2,0,106,7
2020-06-22,295,2,218,33,2,0,75,-31
2020-06-25,310,15,234,16,2,0,74,-1
2020-06-28,318,8,258,24,2,0,58,-16
2020-07-01,333,15,270,12,2,0,61,3
2020-07-04,333,0,280,10,2,0,51,-10
2020-07-07,341,8,304,24,2,0,35,-16
2020-07-10,344,3,307,3,2,0,35,0
2020-07-13,352,8,327,20,2,0,23,-12
2020-07-16,356,4,340,13,2,0,14,-9
2020-07-19,356,0,350,10,2,0,4,-10
2020-07-22,356,0,354,4,2,0,0,-4
2020-07-25,362,6,354,0,2,0,6,6
2020-07-28,378,16,354,0,2,0,22,16
2020-07-31,384,6,354,0,2,0,28,6
2020-08-03,384,0,354,0,2,0,28,0
2020-08-06,391,7,370,16,2,0,19,-9
2020-08-09,407,16,379,9,2,0,26,7
2020-08-12,426,19,379,0,2,0,45,19
2020-08-15,444,18,404,25,2,0,38,-7
2020-08-18,449,5,408,4,2,0,39,1
2020-08-21,497,48,423,15,2,0,72,33
2020-08-24,575,78,447,24,2,0,126,54
2020-08-27,608,33,508,61,2,0,98,-28
2020-08-29,624,16,539,31,2,0,83,-15
