date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-30,1,1,0,0,2,2,-1,-1
2020-04-02,2,1,2,2,3,1,-3,-2
2020-04-05,5,3,2,0,3,0,0,3
2020-04-08,5,0,2,0,3,0,0,0
2020-04-11,16,11,2,0,4,1,10,10
2020-04-14,22,6,2,0,6,2,14,4
2020-04-17,53,31,6,4,6,0,41,27
2020-04-20,74,21,8,2,7,1,59,18
2020-04-23,78,4,9,1,7,0,62,3
2020-04-26,80,2,11,2,7,0,62,0
2020-04-29,84,4,15,4,8,1,61,-1
2020-05-02,84,0,48,33,8,0,28,-33
2020-05-05,92,8,55,7,9,1,28,0
2020-05-08,95,3,68,13,9,0,18,-10
2020-05-11,99,4,76,8,10,1,13,-5
2020-05-14,106,7,78,2,10,0,18,5
2020-05-17,111,5,81,3,11,1,19,1
2020-05-20,135,24,81,0,11,0,43,24
2020-05-23,144,9,86,5,12,1,46,3
2020-05-26,148,4,87,1,13,1,48,2
2020-05-29,172,24,101,14,14,1,57,9
2020-06-01,190,18,101,0,15,1,74,17
2020-06-04,213,23,103,2,15,0,95,21
2020-06-07,221,8,119,16,15,0,87,-8
2020-06-10,222,1,127,8,15,0,80,-7
2020-06-13,233,11,143,16,15,0,75,-5
2020-06-16,248,15,161,18,15,0,72,-3
2020-06-19,258,10,181,20,15,0,62,-10
2020-06-22,276,18,191,10,15,0,70,8
2020-06-25,286,10,206,15,15,0,65,-5
2020-06-28,288,2,236,30,15,0,37,-28
2020-07-01,297,9,242,6,15,0,40,3
2020-07-04,306,9,257,15,15,0,34,-6
2020-07-07,308,2,266,9,15,0,27,-7
2020-07-10,316,8,283,17,15,0,18,-9
2020-07-13,327,11,292,9,15,0,20,2
2020-07-16,336,9,297,5,15,0,24,4
2020-07-19,340,4,297,0,15,0,28,4
2020-07-22,344,4,299,2,15,0,30,2
2020-07-25,349,5,313,14,15,0,21,-9
2020-07-28,357,8,319,6,17,2,21,0
2020-07-31,442,85,319,0,19,2,104,83
2020-08-03,488,46,319,0,19,0,150,46
2020-08-06,495,7,319,0,22,3,154,4
2020-08-09,529,34,320,1,23,1,186,32
2020-08-12,594,65,336,16,24,1,234,48
2020-08-15,642,48,368,32,25,1,249,15
2020-08-18,659,17,380,12,26,1,253,4
2020-08-21,696,37,444,64,29,3,223,-30
2020-08-24,751,55,466,22,31,2,254,31
2020-08-25,0,0,0,0,0,0,0,0
