date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-04-02,4,4,0,0,0,0,4,4
2020-04-05,4,0,0,0,0,0,4,0
2020-04-08,7,3,0,0,0,0,7,3
2020-04-11,23,16,2,2,2,2,19,12
2020-04-14,35,12,2,0,2,0,31,12
2020-04-17,49,14,2,0,2,0,45,14
2020-04-20,70,21,11,9,4,2,55,10
2020-04-23,113,43,13,2,4,0,96,41
2020-04-26,193,80,20,7,4,0,169,73
2020-04-29,228,35,31,11,4,0,193,24
2020-05-02,248,20,32,1,4,0,212,19
2020-05-05,282,34,46,14,4,0,232,20
2020-05-08,310,28,80,34,5,1,225,-7
2020-05-11,329,19,105,25,6,1,218,-7
2020-05-14,348,19,138,33,7,1,203,-15
2020-05-17,369,21,200,62,7,0,162,-41
2020-05-20,391,22,213,13,7,0,171,9
2020-05-23,472,81,227,14,8,1,237,66
2020-05-26,486,14,258,31,8,0,220,-17
2020-05-29,588,102,276,18,10,2,302,82
2020-06-01,650,62,292,16,10,0,348,46
2020-06-04,703,53,299,7,17,7,387,39
2020-06-07,806,103,325,26,21,4,460,73
2020-06-10,855,49,404,79,28,7,423,-37
2020-06-13,902,47,541,137,33,5,328,-95
2020-06-16,955,53,623,82,35,2,297,-31
2020-06-19,1020,65,693,70,43,8,284,-13
2020-06-22,1065,45,747,54,45,2,273,-11
2020-06-25,1117,52,780,33,49,4,288,15
2020-06-28,1197,80,815,35,59,10,323,35
2020-07-01,1243,46,836,21,63,4,344,21
2020-07-04,1309,66,878,42,64,1,367,23
2020-07-07,1389,80,902,24,65,1,422,55
2020-07-10,1477,88,951,49,74,9,452,30
2020-07-13,1569,92,1000,49,81,7,488,36
2020-07-16,1646,77,1065,65,85,4,496,8
2020-07-19,1723,77,1108,43,94,9,521,25
2020-07-22,1787,64,1131,23,98,4,558,37
2020-07-25,1881,94,1173,42,103,5,605,47
2020-07-28,1944,63,1222,49,108,5,614,9
2020-07-31,2063,119,1288,66,110,2,665,51
2020-08-03,2148,85,1323,35,117,7,708,43
2020-08-06,2222,74,1378,55,122,5,722,14
2020-08-09,2288,66,1427,49,123,1,738,16
2020-08-12,2360,72,1545,118,129,6,686,-52
2020-08-15,2419,59,1626,81,131,2,662,-24
2020-08-18,2479,60,1678,52,134,3,667,5
2020-08-21,2548,69,1838,160,138,4,572,-95
2020-08-24,2594,46,1887,49,148,10,559,-13
2020-08-27,2660,66,1942,55,155,7,563,4
2020-08-30,2726,66,2020,78,157,2,549,-14
2020-09-02,2770,44,2104,84,162,5,504,-45
