date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-30,2,2,0,0,0,0,2,2
2020-04-02,6,4,0,0,1,1,5,3
2020-04-05,10,4,1,1,2,1,7,2
2020-04-08,11,1,1,0,2,0,8,1
2020-04-11,15,4,3,2,3,1,9,1
2020-04-14,19,4,3,0,3,0,13,4
2020-04-17,25,6,10,7,5,2,10,-3
2020-04-20,33,8,10,0,6,1,17,7
2020-04-23,35,2,13,3,6,0,16,-1
2020-04-26,38,3,15,2,6,0,17,1
2020-04-29,40,2,17,2,6,0,17,0
2020-05-02,44,4,26,9,6,0,12,-5
2020-05-05,60,16,27,1,6,0,27,15
2020-05-08,68,8,38,11,6,0,24,-3
2020-05-11,73,5,49,11,6,0,18,-6
2020-05-14,93,20,49,0,6,0,38,20
2020-05-17,98,5,60,11,6,0,32,-6
2020-05-20,106,8,63,3,6,0,37,5
2020-05-23,109,3,66,3,6,0,37,0
2020-05-26,110,1,77,11,6,0,27,-10
2020-05-29,116,6,84,7,6,0,26,-1
2020-06-01,116,0,89,5,6,0,21,-5
2020-06-04,116,0,99,10,6,0,11,-10
2020-06-07,117,1,101,2,6,0,10,-1
2020-06-10,119,2,107,6,6,0,6,-4
2020-06-13,124,5,109,2,6,0,9,3
2020-06-16,125,1,112,3,7,1,6,-3
2020-06-19,141,16,114,2,8,1,19,13
2020-06-22,165,24,117,3,8,0,40,21
2020-06-25,219,54,121,4,10,2,88,48
2020-06-28,223,4,139,18,10,0,74,-14
2020-07-01,226,3,178,39,10,0,38,-36
2020-07-04,232,6,205,27,10,0,17,-21
2020-07-07,235,3,214,9,11,1,10,-7
2020-07-10,237,2,217,3,11,0,9,-1
2020-07-13,242,5,221,4,11,0,10,1
2020-07-16,250,8,224,3,11,0,15,5
2020-07-19,271,21,225,1,11,0,35,20
2020-07-22,347,76,232,7,11,0,104,69
2020-07-25,366,19,244,12,11,0,111,7
2020-07-28,408,42,271,27,12,1,125,14
2020-07-31,444,36,309,38,12,0,123,-2
2020-08-03,505,61,331,22,13,1,161,38
2020-08-06,620,115,359,28,13,0,248,87
2020-08-09,731,111,382,23,14,1,335,87
2020-08-12,820,89,437,55,14,0,369,34
2020-08-15,958,138,581,144,14,0,363,-6
2020-08-18,1038,80,640,59,16,2,382,19
2020-08-21,1131,93,721,81,17,1,393,11
2020-08-24,1278,147,819,98,21,4,438,45
2020-08-27,1459,181,872,53,25,4,562,124
2020-08-30,1738,279,965,93,30,5,743,181
2020-09-02,2030,292,1038,73,36,6,956,213
