date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-30,1,1,0,0,0,0,1,1
2020-04-02,1,0,0,0,0,0,1,0
2020-04-05,2,1,0,0,0,0,2,1
2020-04-08,2,0,0,0,0,0,2,0
2020-04-11,5,3,1,1,1,1,3,1
2020-04-14,5,0,1,0,1,0,3,0
2020-04-17,7,2,1,0,1,0,5,2
2020-04-20,7,0,1,0,1,0,5,0
2020-04-23,8,1,1,0,1,0,6,1
2020-04-26,35,27,1,0,1,0,33,27
2020-04-29,38,3,4,3,1,0,33,0
2020-05-02,44,6,5,1,1,0,38,5
2020-05-05,58,14,5,0,2,1,51,13
2020-05-08,60,2,5,0,2,0,53,2
2020-05-11,62,2,5,0,2,0,55,2
2020-05-14,74,12,20,15,2,0,52,-3
2020-05-17,75,1,23,3,2,0,50,-2
2020-05-20,78,3,25,2,2,0,51,1
2020-05-23,86,8,27,2,2,0,57,6
2020-05-26,87,1,29,2,2,0,56,-1
2020-05-29,88,1,34,5,2,0,52,-4
2020-06-01,92,4,41,7,2,0,49,-3
2020-06-04,92,0,49,8,2,0,41,-8
2020-06-07,94,2,61,12,2,0,31,-10
2020-06-10,95,1,63,2,2,0,30,-1
2020-06-13,97,2,70,7,2,0,25,-5
2020-06-16,98,1,71,1,2,0,25,0
2020-06-19,104,6,77,6,2,0,25,0
2020-06-22,104,0,77,0,2,0,25,0
2020-06-25,106,2,79,2,2,0,25,0
2020-06-28,114,8,83,4,2,0,29,4
2020-07-01,117,3,84,1,2,0,31,2
2020-07-04,124,7,85,1,2,0,37,6
2020-07-07,127,3,89,4,2,0,36,-1
2020-07-10,135,8,91,2,3,1,41,5
2020-07-13,143,8,95,4,3,0,45,4
2020-07-16,154,11,102,7,3,0,49,4
2020-07-19,159,5,105,3,3,0,51,2
2020-07-22,169,10,114,9,3,0,52,1
2020-07-25,187,18,119,5,3,0,65,13
2020-07-28,195,8,119,0,3,0,73,8
2020-07-31,230,35,140,21,4,1,86,13
2020-08-03,239,9,147,7,5,1,87,1
2020-08-06,265,26,151,4,5,0,109,22
2020-08-09,275,10,172,21,5,0,98,-11
2020-08-12,282,7,178,6,6,1,98,0
2020-08-15,306,24,203,25,7,1,96,-2
2020-08-18,320,14,217,14,7,0,96,0
2020-08-21,331,11,227,10,7,0,97,1
2020-08-24,353,22,237,10,7,0,109,12
2020-08-25,360,7,240,3,7,0,113,4
