date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-27,1,1,0,0,0,0,1,1
2020-03-30,2,1,0,0,0,0,2,1
2020-04-02,2,0,0,0,1,1,1,-1
2020-04-05,5,3,0,0,2,1,3,2
2020-04-08,5,0,2,2,2,0,1,-2
2020-04-11,19,14,2,0,2,0,15,14
2020-04-14,19,0,2,0,3,1,14,-1
2020-04-17,24,5,2,0,3,0,19,5
2020-04-20,27,3,2,0,3,0,22,3
2020-04-23,29,2,3,1,3,0,23,1
2020-04-26,36,7,4,1,3,0,29,6
2020-04-29,47,11,8,4,3,0,36,7
2020-05-02,59,12,11,3,3,0,45,9
2020-05-05,70,11,12,1,3,0,55,10
2020-05-08,75,5,12,0,3,0,60,5
2020-05-11,83,8,13,1,3,0,67,7
2020-05-14,111,28,21,8,4,1,86,19
2020-05-17,115,4,24,3,4,0,87,1
2020-05-20,115,0,26,2,4,0,85,-2
2020-05-23,120,5,37,11,4,0,79,-6
2020-05-26,120,0,48,11,4,0,68,-11
2020-05-29,126,6,52,4,4,0,70,2
2020-06-01,128,2,61,9,4,0,63,-7
2020-06-04,129,1,70,9,4,0,55,-8
2020-06-07,159,30,94,24,4,0,61,6
2020-06-10,159,0,95,1,4,0,60,-1
2020-06-13,168,9,97,2,4,0,67,7
2020-06-16,172,4,125,28,4,0,43,-24
2020-06-19,173,1,130,5,4,0,39,-4
2020-06-22,176,3,132,2,4,0,40,1
2020-06-25,181,5,145,13,5,1,31,-9
2020-06-28,186,5,153,8,5,0,28,-3
2020-07-01,186,0,157,4,5,0,24,-4
2020-07-04,191,5,161,4,6,1,24,0
2020-07-07,191,0,164,3,6,0,21,-3
2020-07-10,193,2,164,0,6,0,23,2
2020-07-13,193,0,166,2,6,0,21,-2
2020-07-16,195,2,175,9,6,0,14,-7
2020-07-19,196,1,176,1,6,0,14,0
2020-07-22,196,0,181,5,6,0,9,-5
2020-07-25,201,5,185,4,7,1,9,0
2020-07-28,206,5,188,3,7,0,11,2
2020-07-31,207,1,188,0,7,0,12,1
2020-08-03,213,6,189,1,7,0,17,5
2020-08-06,215,2,194,5,7,0,14,-3
2020-08-09,216,1,195,1,7,0,14,0
2020-08-12,220,4,196,1,7,0,17,3
2020-08-15,223,3,197,1,7,0,19,2
2020-08-18,228,5,197,0,7,0,24,5
2020-08-21,235,7,199,2,7,0,29,5
2020-08-24,239,4,207,8,8,1,24,-5
2020-08-27,239,0,213,6,8,0,18,-6
2020-08-30,241,2,219,6,8,0,14,-4
2020-09-02,245,4,220,1,9,1,16,2
2020-09-05,252,7,224,4,11,2,17,1
2020-09-08,257,5,226,2,11,0,20,3
