date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-07,1,1,0,0,0,0,1,1
2020-03-14,4,3,0,0,1,1,3,2
2020-03-21,6,2,0,0,4,3,2,-1
2020-03-28,41,35,3,3,4,0,34,32
2020-04-04,104,63,8,5,18,14,78,44
2020-04-11,197,93,10,2,23,5,164,86
2020-04-18,242,45,12,2,34,11,196,32
2020-04-25,312,70,33,21,38,4,241,45
2020-05-02,369,57,34,1,40,2,295,54
2020-05-09,467,98,122,88,55,15,290,-5
2020-05-16,565,98,158,36,60,5,347,57
2020-05-23,710,145,172,14,65,5,473,126
2020-05-30,800,90,243,71,68,3,489,16
2020-06-06,965,165,365,122,70,2,530,41
2020-06-13,1169,204,418,53,78,8,673,143
2020-06-20,1288,119,570,152,78,0,640,-33
2020-06-27,1385,97,612,42,78,0,695,55
2020-07-04,1461,76,944,332,78,0,439,-256
2020-07-11,1529,68,1041,97,80,2,408,-31
2020-07-18,1602,73,1180,139,82,2,340,-68
2020-07-25,1666,64,1244,64,84,2,338,-2
2020-08-01,1800,134,1366,122,89,5,345,7
2020-08-08,1977,177,1473,107,95,6,409,64
2020-08-15,2183,206,1580,107,98,3,505,96
2020-08-22,2454,271,1729,149,102,4,623,118
2020-08-29,2769,315,1981,252,103,1,685,62
