date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-14,3,3,0,0,0,0,3,3
2020-03-21,7,4,0,0,0,0,7,4
2020-03-28,13,6,0,0,0,0,13,6
2020-04-04,20,7,1,1,1,1,18,5
2020-04-11,32,12,6,5,1,0,25,7
2020-04-18,51,19,12,6,1,0,38,13
2020-04-25,94,43,14,2,1,0,79,41
2020-05-02,151,57,16,2,1,0,134,55
2020-05-09,211,60,31,15,2,1,178,44
2020-05-16,250,39,63,32,3,1,184,6
2020-05-23,271,21,104,41,3,0,164,-20
2020-05-30,288,17,159,55,3,0,126,-38
2020-06-06,324,36,204,45,3,0,117,-9
2020-06-13,373,49,247,43,4,1,122,5
2020-06-20,420,47,317,70,4,0,99,-23
2020-06-27,491,71,363,46,7,3,121,22
2020-07-04,551,60,430,67,8,1,113,-8
2020-07-11,670,119,488,58,12,4,170,57
2020-07-18,845,175,562,74,17,5,266,96
2020-07-25,1131,286,726,164,25,8,380,114
2020-08-01,1430,299,906,180,31,6,493,113
2020-08-08,1831,401,1162,256,47,16,622,129
2020-08-15,2280,449,1488,326,66,19,726,104
2020-08-22,3018,738,1856,368,106,40,1056,330
2020-08-29,3920,902,2298,442,155,49,1467,411
2020-09-04,4812,892,2637,339,199,44,1976,509
