date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-04-04,2,2,0,0,1,1,1,1
2020-04-11,4,2,0,0,1,0,3,2
2020-04-18,6,2,1,1,1,0,4,1
2020-04-25,9,3,2,1,1,0,6,2
2020-05-02,19,10,4,2,1,0,14,8
2020-05-09,28,9,7,3,1,0,20,6
2020-05-16,29,1,24,17,1,0,4,-16
2020-05-23,39,10,27,3,1,0,11,7
2020-05-30,45,6,27,0,1,0,17,6
2020-06-06,98,53,35,8,1,0,62,45
2020-06-13,136,38,63,28,1,0,72,10
2020-06-20,148,12,107,44,2,1,39,-33
2020-06-27,149,1,132,25,2,0,15,-24
2020-07-04,161,12,136,4,2,0,23,8
2020-07-11,172,11,142,6,2,0,28,5
2020-07-18,176,4,167,25,2,0,7,-21
2020-07-25,186,10,172,5,2,0,12,5
2020-08-01,193,7,173,1,2,0,18,6
2020-08-08,200,7,188,15,2,0,10,-8
2020-08-15,207,7,195,7,2,0,10,0
2020-08-22,226,19,201,6,2,0,23,13
2020-08-23,228,2,201,0,2,0,25,2
