zone,last_update,value,percentage,population
DKI_JAKARTA,2020-08-18,2711,,11058944
KALIMANTAN_SELATAN,2020-08-18,2264,,3215366
MALUKU_UTARA,2020-08-18,1971,,885950
PAPUA,2020-08-17,1971,,1740450
GORONTALO,2020-08-18,1705,,1068216
SULAWESI_UTARA,2020-08-18,1537,,2154904
MALUKU,2020-08-18,1451,,1054437
SULAWESI_SELATAN,2020-08-18,1341,,8340621
KALIMANTAN_TENGAH,2020-08-18,1001,,2251078
BALI,2020-08-18,977,,4247341
PAPUA_BARAT,2020-08-18,843,,735514
SULAWESI_TENGGARA,2020-08-18,818,,1487542
KALIMANTAN_TIMUR,2020-08-18,749,,3439150
JAWA_TIMUR,2020-08-18,703,,40531918
NATIONAL,2020-08-20,599,,245596822
KALIMANTAN_UTARA,2020-08-17,586,,560965
SUMATERA_SELATAN,2020-08-18,525,,7467555
NUSA_TENGGARA_BARAT,2020-08-18,523,,4736032
SUMATERA_UTARA,2020-08-18,441,,13181814
KEPULAUAN_RIAU,2020-08-17,378,,1744063
JAWA_TENGAH,2020-08-18,323,,36461504
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-18,286,,3656108
ACEH,2020-08-18,277,,3856404
SUMATERA_BARAT,2020-08-18,275,,5135071
SULAWESI_BARAT,2020-08-18,255,,1256533
BENGKULU,2020-08-18,224,,1248241
BANTEN,2020-08-18,221,,10451189
JAWA_BARAT,2020-08-18,191,,45485037
RIAU,2020-08-18,189,,5492714
KEPULAUAN_BANGKA_BELITUNG,2020-08-18,162,,1330690
SULAWESI_TENGAH,2020-08-18,111,,2047415
KALIMANTAN_BARAT,2020-08-18,97,,4641876
JAMBI,2020-08-17,79,,3080619
NUSA_TENGGARA_TIMUR,2020-08-15,53,,3096127
LAMPUNG,2020-08-17,40,,8455434
