zone,last_update,value,percentage,population
DKI_JAKARTA,2020-08-29,2688,,11058944
KALIMANTAN_SELATAN,2020-08-29,1913,,3215366
PAPUA,2020-08-29,1786,,1740450
MALUKU_UTARA,2020-08-28,1762,,885950
GORONTALO,2020-08-29,1655,,1068216
SULAWESI_UTARA,2020-08-29,1229,,2154904
SULAWESI_SELATAN,2020-08-29,1089,,8340621
MALUKU,2020-08-29,1044,,1054437
BALI,2020-08-29,1017,,4247341
KALIMANTAN_TENGAH,2020-08-29,845,,2251078
PAPUA_BARAT,2020-08-29,764,,735514
SULAWESI_TENGGARA,2020-08-29,678,,1487542
KALIMANTAN_TIMUR,2020-08-29,668,,3439150
JAWA_TIMUR,2020-08-29,630,,40531918
KALIMANTAN_UTARA,2020-08-29,578,,560965
NATIONAL,2020-08-29,500,,245596822
NUSA_TENGGARA_BARAT,2020-08-29,421,,4736032
SUMATERA_SELATAN,2020-08-29,417,,7467555
KEPULAUAN_RIAU,2020-08-29,315,,1744063
SUMATERA_UTARA,2020-08-29,289,,13181814
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-29,265,,3656108
JAWA_TENGAH,2020-08-29,241,,36461504
SUMATERA_BARAT,2020-08-29,225,,5135071
SULAWESI_BARAT,2020-08-29,209,,1256533
BANTEN,2020-08-29,190,,10451189
RIAU,2020-08-29,171,,5492714
KEPULAUAN_BANGKA_BELITUNG,2020-08-26,159,,1330690
BENGKULU,2020-08-29,139,,1248241
JAWA_BARAT,2020-08-29,133,,45485037
KALIMANTAN_BARAT,2020-08-29,116,,4641876
SULAWESI_TENGAH,2020-08-29,106,,2047415
ACEH,2020-08-29,50,,3856404
NUSA_TENGGARA_TIMUR,2020-08-28,50,,3096127
JAMBI,2020-08-28,46,,3080619
LAMPUNG,2020-08-29,37,,8455434
