zone,last_update,value,percentage,population
DKI_JAKARTA,2020-08-30,10424,33.09,
JAWA_TIMUR,2020-08-30,4958,15.74,
KALIMANTAN_SELATAN,2020-08-30,1822,5.78,
JAWA_TENGAH,2020-08-30,1603,5.09,
JAWA_BARAT,2020-08-30,1426,4.53,
SULAWESI_SELATAN,2020-08-30,1409,4.47,
SUMATERA_UTARA,2020-08-30,1293,4.10,
PAPUA,2020-08-30,1097,3.48,
BALI,2020-08-30,777,2.47,
KALIMANTAN_TIMUR,2020-08-30,774,2.46,
SULAWESI_UTARA,2020-08-30,735,2.33,
MALUKU_UTARA,2020-08-30,550,1.75,
SUMATERA_SELATAN,2020-08-30,533,1.69,
GORONTALO,2020-08-29,479,1.52,
BANTEN,2020-08-30,420,1.33,
NUSA_TENGGARA_BARAT,2020-08-30,374,1.19,
KALIMANTAN_TENGAH,2020-08-30,366,1.16,
RIAU,2020-08-30,364,1.16,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-30,301,0.96,
SUMATERA_BARAT,2020-08-30,300,0.95,
SULAWESI_TENGGARA,2020-08-30,220,0.70,
KEPULAUAN_RIAU,2020-08-29,182,0.58,
MALUKU,2020-08-30,156,0.50,
KALIMANTAN_BARAT,2020-08-30,133,0.42,
PAPUA_BARAT,2020-08-30,113,0.36,
LAMPUNG,2020-08-30,77,0.24,
SULAWESI_BARAT,2020-08-30,59,0.19,
ACEH,2020-08-30,55,0.17,
KALIMANTAN_UTARA,2020-08-30,39,0.12,
BENGKULU,2020-08-30,24,0.08,
JAMBI,2020-08-28,23,0.07,
KEPULAUAN_BANGKA_BELITUNG,2020-08-30,21,0.07,
SULAWESI_TENGAH,2020-08-29,21,0.07,
NUSA_TENGGARA_TIMUR,2020-08-30,18,0.06,
