zone,last_update,value,percentage,population
SULAWESI_TENGAH,2020-09-11,8.70,,
NUSA_TENGGARA_BARAT,2020-09-11,8.41,,
SUMATERA_SELATAN,2020-09-11,8.08,,
JAWA_TIMUR,2020-09-11,7.16,,
MALUKU_UTARA,2020-09-11,6.35,,
JAWA_TENGAH,2020-09-11,6.19,,
NUSA_TENGGARA_TIMUR,2020-09-09,5.88,,
LAMPUNG,2020-09-11,5.03,,
KALIMANTAN_TIMUR,2020-09-11,4.98,,
ACEH,2020-09-11,4.16,,
SUMATERA_UTARA,2020-09-11,3.87,,
BALI,2020-09-11,3.74,,
SULAWESI_TENGGARA,2020-09-11,3.47,,
NATIONAL,2020-09-12,3.34,,
JAMBI,2020-09-11,3.26,,
GORONTALO,2020-09-11,3.19,,
KALIMANTAN_SELATAN,2020-09-11,3.01,,
PAPUA_BARAT,2020-09-11,2.83,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-11,2.76,,
KEPULAUAN_RIAU,2020-09-11,2.73,,
BENGKULU,2020-09-11,2.56,,
KALIMANTAN_TENGAH,2020-09-11,1.95,,
SULAWESI_UTARA,2020-09-11,1.95,,
PAPUA,2020-09-11,1.93,,
RIAU,2020-09-11,1.81,,
DKI_JAKARTA,2020-09-11,1.69,,
KEPULAUAN_BANGKA_BELITUNG,2020-09-11,1.54,,
BANTEN,2020-09-11,1.45,,
SULAWESI_SELATAN,2020-09-11,1.44,,
SUMATERA_BARAT,2020-09-11,1.34,,
MALUKU,2020-09-11,1.16,,
JAWA_BARAT,2020-09-11,1.01,,
KALIMANTAN_BARAT,2020-09-11,0.68,,
KALIMANTAN_UTARA,2020-09-11,0.00,,
SULAWESI_BARAT,2020-09-11,0.00,,
