zone,last_update,value,percentage,population
MALUKU,2020-08-27,264,,1054437
ACEH,2020-08-27,249,,3856404
KALIMANTAN_TIMUR,2020-08-27,234,,3439150
KEPULAUAN_RIAU,2020-08-27,129,,1744063
SUMATERA_BARAT,2020-08-27,108,,5135071
SULAWESI_TENGGARA,2020-08-27,87,,1487542
RIAU,2020-08-27,83,,5492714
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-27,38,,3656108
JAMBI,2020-08-27,38,,3080619
BANTEN,2020-08-27,35,,10451189
JAWA_BARAT,2020-08-27,32,,45485037
PAPUA_BARAT,2020-08-27,29,,735514
BENGKULU,2020-08-27,25,,1248241
SUMATERA_UTARA,2020-08-27,22,,13181814
SULAWESI_BARAT,2020-08-27,21,,1256533
KALIMANTAN_BARAT,2020-08-27,16,,4641876
BALI,2020-08-27,9,,4247341
JAWA_TENGAH,2020-08-27,8,,36461504
SULAWESI_TENGAH,2020-08-24,7,,2047415
KEPULAUAN_BANGKA_BELITUNG,2020-08-26,2,,1330690
NATIONAL,2020-08-28,2,,245596822
KALIMANTAN_TENGAH,2020-08-27,-1,,2251078
LAMPUNG,2020-08-27,-1,,8455434
NUSA_TENGGARA_TIMUR,2020-08-27,-5,,3096127
SULAWESI_SELATAN,2020-08-27,-15,,8340621
NUSA_TENGGARA_BARAT,2020-08-27,-18,,4736032
KALIMANTAN_UTARA,2020-08-26,-20,,560965
JAWA_TIMUR,2020-08-27,-39,,40531918
DKI_JAKARTA,2020-08-27,-52,,11058944
SUMATERA_SELATAN,2020-08-27,-63,,7467555
SULAWESI_UTARA,2020-08-27,-94,,2154904
GORONTALO,2020-08-27,-135,,1068216
KALIMANTAN_SELATAN,2020-08-27,-166,,3215366
PAPUA,2020-08-27,-565,,1740450
MALUKU_UTARA,2020-08-27,-1085,,885950
