zone,last_update,value,percentage,population
JAWA_BARAT,2020-09-09,620,20.46,
DKI_JAKARTA,2020-09-09,572,18.88,
JAWA_TENGAH,2020-09-09,288,9.50,
RIAU,2020-09-09,201,6.63,
BALI,2020-09-09,169,5.58,
KALIMANTAN_TENGAH,2020-09-09,93,3.07,
SUMATERA_BARAT,2020-09-09,93,3.07,
BANTEN,2020-09-09,88,2.90,
KEPULAUAN_RIAU,2020-09-09,67,2.21,
SUMATERA_UTARA,2020-09-09,54,1.78,
KALIMANTAN_TIMUR,2020-09-09,53,1.75,
ACEH,2020-09-09,52,1.72,
SUMATERA_SELATAN,2020-09-09,50,1.65,
KALIMANTAN_SELATAN,2020-09-09,43,1.42,
PAPUA_BARAT,2020-09-09,28,0.92,
PAPUA,2020-09-08,23,0.76,
MALUKU_UTARA,2020-09-09,19,0.63,
LAMPUNG,2020-09-09,17,0.56,
KALIMANTAN_BARAT,2020-09-09,12,0.40,
SULAWESI_BARAT,2020-09-09,12,0.40,
GORONTALO,2020-09-09,10,0.33,
KEPULAUAN_BANGKA_BELITUNG,2020-09-09,5,0.17,
NUSA_TENGGARA_TIMUR,2020-09-09,5,0.17,
SULAWESI_TENGAH,2020-09-09,5,0.17,
KALIMANTAN_UTARA,2020-09-09,4,0.13,
JAMBI,2020-09-09,-2,-0.07,
MALUKU,2020-09-09,-3,-0.10,
BENGKULU,2020-09-09,-9,-0.30,
SULAWESI_SELATAN,2020-09-09,-17,-0.56,
NUSA_TENGGARA_BARAT,2020-09-09,-20,-0.66,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-09,-25,-0.83,
JAWA_TIMUR,2020-09-09,-50,-1.65,
SULAWESI_UTARA,2020-09-09,-51,-1.68,
SULAWESI_TENGGARA,2020-09-09,-70,-2.31,
