zone,last_update,value,percentage,population
JAWA_TIMUR,2020-08-11,59,32.78,
DKI_JAKARTA,2020-08-11,20,11.11,
SUMATERA_SELATAN,2020-08-11,16,8.89,
JAWA_TENGAH,2020-08-11,11,6.11,
KALIMANTAN_TIMUR,2020-08-11,11,6.11,
JAWA_BARAT,2020-08-11,8,4.44,
SUMATERA_UTARA,2020-08-11,7,3.89,
MALUKU_UTARA,2020-08-11,6,3.33,
KALIMANTAN_SELATAN,2020-08-11,5,2.78,
NUSA_TENGGARA_BARAT,2020-08-11,5,2.78,
SULAWESI_UTARA,2020-08-11,5,2.78,
GORONTALO,2020-08-11,3,1.67,
SULAWESI_SELATAN,2020-08-11,3,1.67,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-11,2,1.11,
ACEH,2020-08-10,1,0.56,
BENGKULU,2020-08-11,1,0.56,
KALIMANTAN_TENGAH,2020-08-11,1,0.56,
KEPULAUAN_RIAU,2020-08-11,1,0.56,
RIAU,2020-08-11,1,0.56,
BALI,2020-08-11,0,0.00,
BANTEN,2020-08-11,0,0.00,
JAMBI,2020-08-08,0,0.00,
KALIMANTAN_BARAT,2020-08-11,0,0.00,
KALIMANTAN_UTARA,2020-08-11,0,0.00,
KEPULAUAN_BANGKA_BELITUNG,2020-08-10,0,0.00,
LAMPUNG,2020-08-11,0,0.00,
MALUKU,2020-08-11,0,0.00,
NUSA_TENGGARA_TIMUR,2020-08-11,0,0.00,
PAPUA,2020-08-11,0,0.00,
PAPUA_BARAT,2020-08-11,0,0.00,
SULAWESI_BARAT,2020-08-11,0,0.00,
SULAWESI_TENGAH,2020-08-07,0,0.00,
SULAWESI_TENGGARA,2020-08-11,0,0.00,
SUMATERA_BARAT,2020-08-11,0,0.00,
