zone,last_update,value,percentage,population
ACEH,2020-08-10,99.29,,
JAMBI,2020-08-08,94.12,,
SUMATERA_BARAT,2020-08-10,82.47,,
MALUKU_UTARA,2020-08-10,82.46,,
BANTEN,2020-08-10,81.16,,
BENGKULU,2020-08-10,76.92,,
KEPULAUAN_RIAU,2020-08-10,73.68,,
JAWA_BARAT,2020-08-10,69.38,,
KALIMANTAN_BARAT,2020-08-10,68.42,,
RIAU,2020-08-10,68.38,,
MALUKU,2020-08-10,67.92,,
SULAWESI_TENGGARA,2020-08-09,56.52,,
NUSA_TENGGARA_BARAT,2020-08-10,54.55,,
LAMPUNG,2020-08-10,53.85,,
SULAWESI_BARAT,2020-08-08,53.33,,
SULAWESI_SELATAN,2020-08-10,33.21,,
BALI,2020-08-10,25.93,,
SUMATERA_UTARA,2020-08-10,25.49,,
KALIMANTAN_TENGAH,2020-08-10,20.14,,
DKI_JAKARTA,2020-08-10,19.03,,
GORONTALO,2020-08-10,17.24,,
NATIONAL,2020-08-11,13.33,,
KALIMANTAN_SELATAN,2020-08-10,9.13,,
KALIMANTAN_TIMUR,2020-08-10,-1.50,,
JAWA_TENGAH,2020-08-10,-2.36,,
JAWA_TIMUR,2020-08-10,-10.86,,
SULAWESI_UTARA,2020-08-10,-12.50,,
KEPULAUAN_BANGKA_BELITUNG,2020-08-10,-33.33,,
SULAWESI_TENGAH,2020-08-07,-33.33,,
PAPUA_BARAT,2020-08-10,-66.67,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-10,-89.47,,
PAPUA,2020-08-10,-112.50,,
SUMATERA_SELATAN,2020-08-10,-154.44,,
KALIMANTAN_UTARA,2020-08-10,-180.00,,
NUSA_TENGGARA_TIMUR,2020-08-05,-800.00,,
