zone,last_update,value,percentage,population
DKI_JAKARTA,2020-08-26,4437,28.31,
JAWA_TIMUR,2020-08-26,2443,15.59,
JAWA_BARAT,2020-08-26,1090,6.95,
JAWA_TENGAH,2020-08-26,1049,6.69,
KALIMANTAN_TIMUR,2020-08-26,751,4.79,
KALIMANTAN_SELATAN,2020-08-26,611,3.90,
SUMATERA_UTARA,2020-08-26,539,3.44,
BALI,2020-08-26,506,3.23,
SULAWESI_SELATAN,2020-08-26,474,3.02,
SUMATERA_BARAT,2020-08-26,384,2.45,
RIAU,2020-08-26,311,1.98,
SULAWESI_UTARA,2020-08-26,277,1.77,
SUMATERA_SELATAN,2020-08-26,259,1.65,
BANTEN,2020-08-26,255,1.63,
PAPUA,2020-08-26,233,1.49,
MALUKU,2020-08-26,195,1.24,
KALIMANTAN_TENGAH,2020-08-26,188,1.20,
SULAWESI_TENGGARA,2020-08-26,185,1.18,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-26,174,1.11,
ACEH,2020-08-26,159,1.01,
KALIMANTAN_BARAT,2020-08-25,153,0.98,
GORONTALO,2020-08-25,149,0.95,
NUSA_TENGGARA_BARAT,2020-08-26,136,0.87,
KEPULAUAN_RIAU,2020-08-26,96,0.61,
PAPUA_BARAT,2020-08-26,77,0.49,
MALUKU_UTARA,2020-08-26,53,0.34,
SULAWESI_BARAT,2020-08-26,40,0.26,
JAMBI,2020-08-26,39,0.25,
KALIMANTAN_UTARA,2020-08-26,29,0.19,
LAMPUNG,2020-08-26,25,0.16,
BENGKULU,2020-08-26,17,0.11,
KEPULAUAN_BANGKA_BELITUNG,2020-08-26,16,0.10,
SULAWESI_TENGAH,2020-08-24,12,0.08,
NUSA_TENGGARA_TIMUR,2020-08-26,8,0.05,
