zone,last_update,value,percentage,population
KALIMANTAN_TIMUR,2020-08-26,11,,3439150
DKI_JAKARTA,2020-08-26,9,,11058944
KALIMANTAN_SELATAN,2020-08-26,5,,3215366
PAPUA_BARAT,2020-08-26,5,,735514
GORONTALO,2020-08-25,4,,1068216
JAWA_TIMUR,2020-08-26,4,,40531918
NUSA_TENGGARA_BARAT,2020-08-26,4,,4736032
SULAWESI_TENGGARA,2020-08-26,4,,1487542
ACEH,2020-08-26,3,,3856404
JAWA_TENGAH,2020-08-26,3,,36461504
KEPULAUAN_RIAU,2020-08-26,3,,1744063
MALUKU,2020-08-26,3,,1054437
NATIONAL,2020-08-27,3,,245596822
SULAWESI_UTARA,2020-08-26,3,,2154904
SUMATERA_SELATAN,2020-08-26,3,,7467555
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-26,2,,3656108
MALUKU_UTARA,2020-08-26,2,,885950
PAPUA,2020-08-26,2,,1740450
SUMATERA_UTARA,2020-08-26,2,,13181814
BALI,2020-08-26,1,,4247341
KALIMANTAN_TENGAH,2020-08-26,1,,2251078
RIAU,2020-08-26,1,,5492714
SULAWESI_SELATAN,2020-08-26,1,,8340621
SUMATERA_BARAT,2020-08-26,1,,5135071
BANTEN,2020-08-26,0,,10451189
BENGKULU,2020-08-26,0,,1248241
JAMBI,2020-08-26,0,,3080619
JAWA_BARAT,2020-08-26,0,,45485037
KALIMANTAN_BARAT,2020-08-25,0,,4641876
KALIMANTAN_UTARA,2020-08-26,0,,560965
KEPULAUAN_BANGKA_BELITUNG,2020-08-26,0,,1330690
LAMPUNG,2020-08-26,0,,8455434
NUSA_TENGGARA_TIMUR,2020-08-26,0,,3096127
SULAWESI_BARAT,2020-08-26,0,,1256533
SULAWESI_TENGAH,2020-08-24,0,,2047415
