zone,last_update,value,percentage,population
MALUKU_UTARA,2020-08-18,298.18,,
LAMPUNG,2020-08-17,188.89,,
PAPUA_BARAT,2020-08-18,151.61,,
SUMATERA_SELATAN,2020-08-18,146.74,,
KALIMANTAN_TENGAH,2020-08-18,142.37,,
SULAWESI_UTARA,2020-08-18,141.25,,
NUSA_TENGGARA_BARAT,2020-08-18,130.07,,
SULAWESI_SELATAN,2020-08-18,112.13,,
JAWA_TIMUR,2020-08-18,106.76,,
SULAWESI_BARAT,2020-08-18,102.63,,
KALIMANTAN_SELATAN,2020-08-18,102.02,,
DKI_JAKARTA,2020-08-18,100.89,,
BALI,2020-08-18,98.65,,
PAPUA,2020-08-17,92.86,,
NATIONAL,2020-08-20,91.11,,
KALIMANTAN_BARAT,2020-08-18,90.62,,
SUMATERA_UTARA,2020-08-18,90.53,,
RIAU,2020-08-18,85.60,,
GORONTALO,2020-08-18,84.31,,
SULAWESI_TENGGARA,2020-08-18,77.58,,
KEPULAUAN_BANGKA_BELITUNG,2020-08-18,69.23,,
MALUKU,2020-08-18,64.48,,
NUSA_TENGGARA_TIMUR,2020-08-15,61.54,,
KALIMANTAN_TIMUR,2020-08-18,60.62,,
BANTEN,2020-08-18,53.23,,
JAWA_TENGAH,2020-08-18,53.02,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-18,48.04,,
KEPULAUAN_RIAU,2020-08-17,46.79,,
SUMATERA_BARAT,2020-08-18,42.41,,
BENGKULU,2020-08-18,31.82,,
KALIMANTAN_UTARA,2020-08-17,27.27,,
ACEH,2020-08-18,25.45,,
JAWA_BARAT,2020-08-18,24.82,,
SULAWESI_TENGAH,2020-08-18,16.67,,
JAMBI,2020-08-17,11.43,,
